asset,fit_sample,sample_start_utc,sample_end_utc,state_observations,exact_pairs_available,pairs_used,pair_sampling,margin_estimation_sample,dynamic_estimation_sample,model,theta,tau,kappa,lambda,base_half_life_minutes,conditional_mean_half_life_minutes,loglik,aic,bic,converged,gradient_norm,hessian_condition,likelihood_type,previous_state_treatment,parameter_bounds,raw_data_sha256,config_sha256
USDT,training_2021_2023,2021-01-01 00:00:00+00:00,2023-12-31 23:55:00+00:00,314759,314590,314590,all exact 300-second pairs,training_2021_2023,training_2021_2023,OU-Interval-IFM,0.0001436035943364991,0.000838871460038034,1.8269784637067854,0.0,546.3293409497535,546.3293409497535,-675876.1217374915,1351754.243474983,1351764.9025004655,True,0.0,1.0,conditional_interval_approximation,observed_log_price_bin_midpoint,"log(kappa)[-12,14]; log(lambda)[-18,12] for MOU",417ea3aa71f86c4476c30568f251f3f873ae8b0d44c5f480f5ad2f35fc6acc22,cf7b32247555319cee27e5ef97c3b29cb6a037f5c5eee5eb4d0324b599cbefe2
USDT,training_2021_2023,2021-01-01 00:00:00+00:00,2023-12-31 23:55:00+00:00,314759,314590,314590,all exact 300-second pairs,training_2021_2023,training_2021_2023,MOU-Interval-IFM,0.0001436035943364991,0.000838871460038034,0.816849128857721,2.075133530766272,1221.929368281393,345.1375950283517,-601527.4943281104,1203058.9886562207,1203080.3067071862,True,7.02166693695149e-08,65.48490818156228,conditional_interval_approximation,observed_log_price_bin_midpoint,"log(kappa)[-12,14]; log(lambda)[-18,12] for MOU",417ea3aa71f86c4476c30568f251f3f873ae8b0d44c5f480f5ad2f35fc6acc22,cf7b32247555319cee27e5ef97c3b29cb6a037f5c5eee5eb4d0324b599cbefe2
USDC,training_2021_2023,2021-01-01 00:00:00+00:00,2023-12-31 23:55:00+00:00,304526,295649,295649,all exact 300-second pairs,training_2021_2023,training_2021_2023,OU-Interval-IFM,-0.00012598894953017863,0.0023931783750104053,0.9958817239565074,0.0,1002.2595213825934,1002.2595213825934,-623320.345669915,1246642.69133983,1246653.2882680488,True,4.440892098527e-08,1.0,conditional_interval_approximation,observed_log_price_bin_midpoint,"log(kappa)[-12,14]; log(lambda)[-18,12] for MOU",9a6eb1ec5bc81c49e0bd59c229d97e8c1d20dfb7ddccb49e4d0c3bac7a787349,cf7b32247555319cee27e5ef97c3b29cb6a037f5c5eee5eb4d0324b599cbefe2
USDC,training_2021_2023,2021-01-01 00:00:00+00:00,2023-12-31 23:55:00+00:00,304526,295649,295649,all exact 300-second pairs,training_2021_2023,training_2021_2023,MOU-Interval-IFM,-0.00012598894953017863,0.0023931783750104053,0.14055787194456104,1.0535297627407318,7101.216930774288,835.895047409467,-426188.97206725605,852381.9441345121,852403.1379909498,True,4.96506833046823e-08,164.3327337595921,conditional_interval_approximation,observed_log_price_bin_midpoint,"log(kappa)[-12,14]; log(lambda)[-18,12] for MOU",9a6eb1ec5bc81c49e0bd59c229d97e8c1d20dfb7ddccb49e4d0c3bac7a787349,cf7b32247555319cee27e5ef97c3b29cb6a037f5c5eee5eb4d0324b599cbefe2
DAI,training_2021_2023,2021-01-01 00:00:00+00:00,2023-12-31 23:50:00+00:00,238495,205120,205120,all exact 300-second pairs,training_2021_2023,training_2021_2023,OU-Interval-IFM,5.146493139221921e-05,0.0024184844455592378,3.0430999897411795,0.0,327.99840405218293,327.99840405218293,-1020285.4308371036,2040572.8616742073,2040583.09302466,True,1.7763568501960078e-07,1.0,conditional_interval_approximation,observed_log_price_bin_midpoint,"log(kappa)[-12,14]; log(lambda)[-18,12] for MOU",a455ae9809468ca5ad66b81770cbb5492e801d98d470e23c29408a4bb9115fd7,cf7b32247555319cee27e5ef97c3b29cb6a037f5c5eee5eb4d0324b599cbefe2
DAI,training_2021_2023,2021-01-01 00:00:00+00:00,2023-12-31 23:50:00+00:00,238495,205120,205120,all exact 300-second pairs,training_2021_2023,training_2021_2023,MOU-Interval-IFM,5.146493139221921e-05,0.0024184844455592378,0.11888844191155187,25.259866453898265,8395.533863156272,39.32942904819648,-858976.9382445652,1717957.8764891303,1717978.3391900358,True,1.7763568501960078e-07,9187.774608415306,conditional_interval_approximation,observed_log_price_bin_midpoint,"log(kappa)[-12,14]; log(lambda)[-18,12] for MOU",a455ae9809468ca5ad66b81770cbb5492e801d98d470e23c29408a4bb9115fd7,cf7b32247555319cee27e5ef97c3b29cb6a037f5c5eee5eb4d0324b599cbefe2
