asset,fit_sample,sample_start_utc,sample_end_utc,state_observations,exact_pairs_available,pairs_used,pair_sampling,margin_estimation_sample,dynamic_estimation_sample,model,theta,tau,kappa,lambda,base_half_life_minutes,conditional_mean_half_life_minutes,loglik,aic,bic,converged,gradient_norm,hessian_condition,likelihood_type,previous_state_treatment,parameter_bounds,raw_data_sha256,config_sha256
USDT,full_2021_2025,2021-01-01 00:00:00+00:00,2025-12-31 23:55:00+00:00,524835,524610,524610,all exact 300-second pairs,full_2021_2025,full_2021_2025,OU-Interval-IFM,6.70836538168071e-05,0.0007359264491288744,1.6080974509576824,0.0,620.6912021481635,620.6912021481635,-1348990.1829253482,2697982.3658506963,2697993.5362611045,True,0.0,1.0,conditional_interval_approximation,observed_log_price_bin_midpoint,"log(kappa)[-12,14]; log(lambda)[-18,12] for MOU",417ea3aa71f86c4476c30568f251f3f873ae8b0d44c5f480f5ad2f35fc6acc22,80f29666b703db62e761a35cf9d47f74d545baff1e08be51bc9a21233721121d
USDT,full_2021_2025,2021-01-01 00:00:00+00:00,2025-12-31 23:55:00+00:00,524835,524610,524610,all exact 300-second pairs,full_2021_2025,full_2021_2025,MOU-Interval-IFM,6.70836538168071e-05,0.0007359264491288744,0.7047743417229487,2.7727016293025324,1416.2433007509987,287.02770294397743,-1222650.1852285264,2445304.3704570527,2445326.7112778695,True,4.4408921008381155e-08,256.03743501536366,conditional_interval_approximation,observed_log_price_bin_midpoint,"log(kappa)[-12,14]; log(lambda)[-18,12] for MOU",417ea3aa71f86c4476c30568f251f3f873ae8b0d44c5f480f5ad2f35fc6acc22,80f29666b703db62e761a35cf9d47f74d545baff1e08be51bc9a21233721121d
USDC,full_2021_2025,2021-01-01 00:00:00+00:00,2025-12-31 23:55:00+00:00,487069,476848,476848,all exact 300-second pairs,full_2021_2025,full_2021_2025,OU-Interval-IFM,-0.00011502669255807933,0.0018940669693192473,1.072692061461171,0.0,930.4925205158249,930.4925205158249,-912210.724595791,1824423.449191582,1824434.5241446428,True,2.2204460504190577e-08,1.0,conditional_interval_approximation,observed_log_price_bin_midpoint,"log(kappa)[-12,14]; log(lambda)[-18,12] for MOU",9a6eb1ec5bc81c49e0bd59c229d97e8c1d20dfb7ddccb49e4d0c3bac7a787349,80f29666b703db62e761a35cf9d47f74d545baff1e08be51bc9a21233721121d
USDC,full_2021_2025,2021-01-01 00:00:00+00:00,2025-12-31 23:55:00+00:00,487069,476848,476848,all exact 300-second pairs,full_2021_2025,full_2021_2025,MOU-Interval-IFM,-0.00011502669255807933,0.0018940669693192473,0.22608173439222798,0.7026331741116691,4414.91632523779,1074.7452537552676,-658631.3982120324,1317266.7964240648,1317288.9463301864,True,8.881784201676231e-08,185.04466683307388,conditional_interval_approximation,observed_log_price_bin_midpoint,"log(kappa)[-12,14]; log(lambda)[-18,12] for MOU",9a6eb1ec5bc81c49e0bd59c229d97e8c1d20dfb7ddccb49e4d0c3bac7a787349,80f29666b703db62e761a35cf9d47f74d545baff1e08be51bc9a21233721121d
DAI,full_2021_2025,2021-01-01 00:00:00+00:00,2025-12-31 22:55:00+00:00,311975,241610,241610,all exact 300-second pairs,full_2021_2025,full_2021_2025,OU-Interval-IFM,-1.984316930472748e-05,0.002138571706886324,4.457158385402678,0.0,223.9390781524013,223.9390781524013,-1217823.299384948,2435648.598769896,2435658.993850031,True,8.881784250980039e-08,1.0,conditional_interval_approximation,observed_log_price_bin_midpoint,"log(kappa)[-12,14]; log(lambda)[-18,12] for MOU",a455ae9809468ca5ad66b81770cbb5492e801d98d470e23c29408a4bb9115fd7,80f29666b703db62e761a35cf9d47f74d545baff1e08be51bc9a21233721121d
DAI,full_2021_2025,2021-01-01 00:00:00+00:00,2025-12-31 22:55:00+00:00,311975,241610,241610,all exact 300-second pairs,full_2021_2025,full_2021_2025,MOU-Interval-IFM,-1.984316930472748e-05,0.002138571706886324,0.19495642005624275,27.78022930962838,5119.769534742028,35.6791890374189,-1043629.9433409153,2087263.8866818305,2087284.6768421005,True,1.2560739745807733e-07,4.385887570138502,conditional_interval_approximation,observed_log_price_bin_midpoint,"log(kappa)[-12,14]; log(lambda)[-18,12] for MOU",a455ae9809468ca5ad66b81770cbb5492e801d98d470e23c29408a4bb9115fd7,80f29666b703db62e761a35cf9d47f74d545baff1e08be51bc9a21233721121d
