window_days,start_utc,end_utc,nobs,theta,kappa,sigma,lambda,half_life_minutes,effective_half_life_minutes,conditional_mixed_loglik
30,2021-01-01 00:00:00+00:00,2021-01-31 00:00:00+00:00,8541,0.0007103200788785602,3.388930424543321,0.002755500213253679,2.4098014799338467,294.5271265463721,172.12934766576623,63172.93266911343
30,2021-01-31 00:00:00+00:00,2021-03-02 00:00:00+00:00,8627,0.0007164532666401053,9.289857684228421,0.00253526246820229,2.7687226497820454,107.443189544321,82.77358630610544,64787.103644158975
30,2021-03-02 00:00:00+00:00,2021-04-01 00:00:00+00:00,8611,0.00013966353879299906,12.9559104415224,0.00165724862429702,0.7380541475088428,77.04066375817233,72.88845633541487,67541.66407916283
30,2021-04-01 00:00:00+00:00,2021-05-01 00:00:00+00:00,8633,0.0004621432025065777,3.251734842838647,0.0017860937598812479,0.966244009283535,306.95366880990457,236.63749274231978,67577.05742898422
30,2021-05-01 00:00:00+00:00,2021-05-31 00:00:00+00:00,8623,0.0009763442403124724,6.812513575279507,0.001780476500229725,1.1992528049170152,146.5144882247621,124.58325575662101,67357.92185853452
30,2021-05-31 00:00:00+00:00,2021-06-30 00:00:00+00:00,8589,0.00023321301038390765,10.702535162678734,0.0011627043638447311,0.3689337718711647,93.26126238640632,90.15352397291439,70335.88015353016
30,2021-06-30 00:00:00+00:00,2021-07-30 00:00:00+00:00,8535,0.00015438355036414249,18.67718221379286,0.0011721846678106882,0.35065580888820674,53.441248716265854,52.45640302469224,70451.3738359046
30,2021-07-30 00:00:00+00:00,2021-08-29 00:00:00+00:00,8630,0.0003781674418356452,9.454209019636025,0.001094661613723909,0.22711645847074519,105.57540434458768,103.09868646224987,71168.98414356667
30,2021-08-29 00:00:00+00:00,2021-09-28 00:00:00+00:00,8615,0.00030510389719911517,11.876775474649664,0.0011217713217017884,0.10559700113177234,84.04065077569075,83.3000261028213,70869.28115742089
30,2021-09-28 00:00:00+00:00,2021-10-28 00:00:00+00:00,8633,0.00013544066194539467,13.995320431146268,0.0011645005154936826,0.07953620249912235,71.31897729079509,70.91595786633636,70727.57832501983
30,2021-10-28 00:00:00+00:00,2021-11-27 00:00:00+00:00,8637,0.0005137500888874785,9.955910076906427,0.0011767315483236268,0.39375398791163524,100.25521848791828,96.44099883389475,70635.37444453007
30,2021-11-27 00:00:00+00:00,2021-12-27 00:00:00+00:00,8628,0.0006232192575449598,8.820839160219732,0.0014134850372675254,0.25782255741280696,113.15612062259359,109.94262932693633,69750.88083452404
30,2021-12-27 00:00:00+00:00,2022-01-26 00:00:00+00:00,8628,0.0001749715661763184,17.1426542257042,0.0011735304218569,6.1442180947646736e-06,58.22505236731036,58.2250314984713,70661.13417435263
30,2022-01-26 00:00:00+00:00,2022-02-25 00:00:00+00:00,8630,0.0005361691470461388,27.132930510035923,0.0011616228026446473,6.144215601065196e-06,36.786735573480804,36.786727243175925,70911.37523708798
30,2022-02-25 00:00:00+00:00,2022-03-27 00:00:00+00:00,8610,0.00034249174248210965,21.74452488420339,0.0010829930492981432,0.08911404101432846,45.9026787350699,45.71532685985225,71273.07207823485
30,2022-03-27 00:00:00+00:00,2022-04-26 00:00:00+00:00,8639,0.00024365362290013783,46.318426454942404,0.0010789213374021386,6.1442167974553186e-06,21.549349069042382,21.549346210485538,71898.9027626281
30,2022-04-26 00:00:00+00:00,2022-05-26 00:00:00+00:00,8632,-0.000942158411549486,2.7411074016651225,0.004935401443066071,0.3813756588861171,364.13456087127145,319.6596813018778,60374.10110298015
30,2022-05-26 00:00:00+00:00,2022-06-25 00:00:00+00:00,8607,-0.0010514307434071346,11.690759116807401,0.0012275128408232572,0.15089190873121855,85.37785528155663,84.28993033603784,70029.84355005171
30,2022-06-25 00:00:00+00:00,2022-07-25 00:00:00+00:00,8596,-0.000666329848569079,2.8997823652234267,0.0011994053997236031,6.144217643737145e-06,344.20925927984797,344.20852995196867,70001.49964833907
30,2022-07-25 00:00:00+00:00,2022-08-24 00:00:00+00:00,8602,0.00017635398772713513,28.572925213574457,0.0012115079463078885,0.5521656694290416,34.93278803432165,34.270517610257485,70379.09940319325
30,2022-08-24 00:00:00+00:00,2022-09-23 00:00:00+00:00,8599,3.8667522700519255e-05,49.970898989763924,0.001217156239066281,0.21236259719414002,19.9742642254801,19.88973830002556,70583.01608129231
30,2022-09-23 00:00:00+00:00,2022-10-23 00:00:00+00:00,8625,1.8858517181531997e-05,69.8210111828263,0.0011900183199575966,6.144217523631657e-06,14.295581274134129,14.295580016129529,71265.41677011234
30,2022-10-23 00:00:00+00:00,2022-11-22 00:00:00+00:00,8623,-0.0006282256922337573,3.519715016889332,0.002936641261919122,1.3187988109814803,283.5831694375229,206.28895059819413,64533.924870695424
30,2022-11-22 00:00:00+00:00,2022-12-22 00:00:00+00:00,8601,-0.0001943038615345316,4.885812080489615,0.0012470383760949115,0.17449407458853247,204.29192190836307,197.24734223929715,69800.7125862246
30,2022-12-22 00:00:00+00:00,2023-01-21 00:00:00+00:00,8634,-0.00018821609803766452,13.955440076804196,0.0012267176450141267,0.15995239604922842,71.52278498657665,70.71230516090276,70291.26052667471
30,2023-01-21 00:00:00+00:00,2023-02-20 00:00:00+00:00,8635,0.00014101887758041662,32.5129654995832,0.0013222916448260313,0.4676226230657187,30.699504787378334,30.264225013042417,69961.71329219226
30,2023-02-20 00:00:00+00:00,2023-03-22 00:00:00+00:00,8619,0.001535128335386087,0.8596762576819853,0.0032833077453888696,3.1817580312602045,1161.0556079537025,246.97467993908012,62823.3644898095
30,2023-03-22 00:00:00+00:00,2023-04-21 00:00:00+00:00,8639,0.0004643870116681507,1.598640044811243,0.0008116227123058507,3.4370719979204107,624.3631536980384,198.21068630145066,74337.03665213169
30,2023-04-21 00:00:00+00:00,2023-05-21 00:00:00+00:00,8617,0.0003411894090448069,1.060008319970368,0.0005601721050730268,3.7404075110809383,941.6265148128492,207.92614122092152,77362.27648812915
30,2023-05-21 00:00:00+00:00,2023-06-20 00:00:00+00:00,8635,-6.543294675054819e-05,1.1847576796023973,0.0005594898221277197,1.6217270480155614,842.4777126925167,355.6520119934873,77516.33129833628
30,2023-06-20 00:00:00+00:00,2023-07-20 00:00:00+00:00,8617,3.6472620023240344e-06,5.896743944879867,0.0006451712521115877,3.9329384949382273,169.26831982809728,101.54264353068892,75872.02423762107
30,2023-07-20 00:00:00+00:00,2023-08-19 00:00:00+00:00,8616,-0.0006353305029554691,0.58130876074188,0.0005732969897990305,2.872492772040514,1717.0426585907317,288.9951638889403,77197.50186566327
