block_length_days,parameter,replications_requested,replications_valid,bootstrap_mean,bootstrap_se,ci_lower,ci_upper
1,theta,200,200,6.805813663029737e-05,1.6965933107223028e-05,4.0406675841732234e-05,0.00010597563214314322
1,kappa,200,200,1.6759064069348444,0.2021132762206024,1.3093529686481065,2.0606282435686163
1,sigma,200,200,0.0013384147703058894,0.00013289180095244702,0.00114073936114409,0.0016161313472774998
3,theta,200,200,6.439789077252471e-05,2.7007184601857818e-05,1.0496250326320728e-05,0.00011093678637012938
3,kappa,200,200,1.7484098858786148,0.2299980675627397,1.2797446983354697,2.1571885357120064
3,sigma,200,200,0.0013421063690826818,0.00014734885000974686,0.0011066866528284887,0.0016536726173124602
7,theta,200,200,6.509644659026323e-05,3.605095702304805e-05,-6.069437440762299e-06,0.00013384068865002753
7,kappa,200,200,1.7477327573688848,0.26221291269390534,1.2500531573652134,2.2128475839639252
7,sigma,200,200,0.00133707269678835,0.00014980820947230961,0.0010754232960504605,0.001648455339786044
