asset,frequency_minutes,fit_sample,pair_sampling,pair_index_sha256,pairs_used,theta,tau,kappa,lambda,base_half_life_minutes,conditional_mean_half_life_minutes,converged,observation_model,margin_estimator
USDT,1,training_2021_2023,UTC-day stratified without replacement; cap=20000,819d9d7059fd56b6e2a88f9572dc9bf0358d3f2128481de98a1b4e4997a73be6,20000,0.00014466542019210497,0.0007997699985430318,2.8874832924929046,3.8992879438030323,345.6753992659765,147.07022017601975,True,annual-tick conditional interval approximation,log-bin-midpoint moments (frequency pilot)
USDT,5,training_2021_2023,UTC-day stratified without replacement; cap=20000,6572cf8fecb6520a96b9fc799cc5ea8b3f96f7ef9e11eeba24d7c5f12a710905,20000,0.0001439759939929325,0.0008580910065832214,0.7500130064660555,2.4602838356488546,1330.819507663425,310.91577791565294,True,annual-tick conditional interval approximation,log-bin-midpoint moments (frequency pilot)
USDC,1,training_2021_2023,UTC-day stratified without replacement; cap=20000,0c8e2752cb66a9587288ac4eb2b2057156b31a11a39f535419d6bd3d8d7af649,20000,-0.00013037013829698323,0.0026096452245041213,0.47093645552708524,3.08609933552313,2119.462038438252,280.6077865501664,True,annual-tick conditional interval approximation,log-bin-midpoint moments (frequency pilot)
USDC,5,training_2021_2023,UTC-day stratified without replacement; cap=20000,51acb2b1086c695f33aea229d1f353e89077c2f4827a2054d49be0d5ad48c8a1,20000,-0.00011950824309870738,0.002305569654412713,0.1428346349646823,1.0280689031194141,6988.024579984555,852.4459167998804,True,annual-tick conditional interval approximation,log-bin-midpoint moments (frequency pilot)
DAI,1,training_2021_2023,UTC-day stratified without replacement; cap=20000,4e502a48e2f0088d38d7e23dad1ad80047436b6dc52022e978bbd1e361f64d69,20000,4.652062545298589e-05,0.002347632278597072,0.3325529375603093,122.3380307533902,3001.4227128133775,8.136685340317282,True,annual-tick conditional interval approximation,log-bin-midpoint moments (frequency pilot)
DAI,5,training_2021_2023,UTC-day stratified without replacement; cap=20000,38d4104789f2c566a2c8c13c0c58e56fba8a7c0483388e3bf74a62c82e471ab3,20000,5.58154169303839e-05,0.002015721969703676,0.2122030249441877,23.017735871994248,4703.664993789997,42.967480217430484,True,annual-tick conditional interval approximation,log-bin-midpoint moments (frequency pilot)
