period,model,horizon_minutes,n_pairs,finite_score_coverage,mean_log_score,comparison_group,evaluation_error,density_evaluation,marginal,copula
training_2021_2023,AffineTransformedCIR,360,40000,1.0,6.156320253884683,log_price_density,,,,
training_2021_2023,AffineTransformedCIR,1440,40000,1.0,5.784132389765776,log_price_density,,,,
validation_2024,AffineTransformedCIR,5,40000,1.0,8.317552662677752,log_price_density,,,,
validation_2024,AffineTransformedCIR,60,40000,1.0,7.188508407421624,log_price_density,,,,
validation_2024,AffineTransformedCIR,360,40000,1.0,6.431228395596257,log_price_density,,,,
validation_2024,AffineTransformedCIR,1440,40000,1.0,6.020207661460624,log_price_density,,,,
test_2025,AffineTransformedCIR,5,40000,1.0,8.466342686404916,log_price_density,,,,
test_2025,AffineTransformedCIR,60,40000,1.0,7.309737800870906,log_price_density,,,,
test_2025,AffineTransformedCIR,360,40000,1.0,6.543506346107372,log_price_density,,,,
test_2025,AffineTransformedCIR,1440,40000,1.0,6.163290461540634,log_price_density,,,,
training_2021_2023,SeasonalIntensityMOU,5,40000,1.0,8.034373605682323,log_price_density,,,,
training_2021_2023,SeasonalIntensityMOU,60,40000,1.0,6.948641016638503,log_price_density,,,,
training_2021_2023,SeasonalIntensityMOU,360,40000,1.0,6.114966589853514,log_price_density,,,,
training_2021_2023,SeasonalIntensityMOU,1440,40000,1.0,5.676369988190846,log_price_density,,,,
validation_2024,SeasonalIntensityMOU,5,40000,1.0,8.243208794812162,log_price_density,,,,
validation_2024,SeasonalIntensityMOU,60,40000,1.0,7.041232951585008,log_price_density,,,,
validation_2024,SeasonalIntensityMOU,360,40000,1.0,6.208322086605795,log_price_density,,,,
validation_2024,SeasonalIntensityMOU,1440,40000,1.0,5.8096992891083765,log_price_density,,,,
test_2025,SeasonalIntensityMOU,5,40000,1.0,8.306641091672905,log_price_density,,,,
test_2025,SeasonalIntensityMOU,60,40000,1.0,7.102151934127628,log_price_density,,,,
test_2025,SeasonalIntensityMOU,360,40000,1.0,6.260837074908147,log_price_density,,,,
test_2025,SeasonalIntensityMOU,1440,40000,1.0,5.891854377792362,log_price_density,,,,
training_2021_2023,JumpOU,5,40000,1.0,8.066961284059742,log_price_density,,,,
training_2021_2023,JumpOU,60,40000,1.0,6.983080011783582,log_price_density,,,,
training_2021_2023,JumpOU,360,40000,1.0,6.123434259439991,log_price_density,,,,
training_2021_2023,JumpOU,1440,40000,1.0,5.690203423725611,log_price_density,,,,
validation_2024,JumpOU,5,40000,1.0,8.243724913386917,log_price_density,,,,
validation_2024,JumpOU,60,40000,1.0,7.034866059305404,log_price_density,,,,
validation_2024,JumpOU,360,40000,1.0,6.203111820027924,log_price_density,,,,
validation_2024,JumpOU,1440,40000,1.0,5.797013065007816,log_price_density,,,,
test_2025,JumpOU,5,40000,1.0,8.306511882972112,log_price_density,,,,
test_2025,JumpOU,60,40000,1.0,7.09410457815441,log_price_density,,,,
test_2025,JumpOU,360,40000,1.0,6.244594181962813,log_price_density,,,,
test_2025,JumpOU,1440,40000,1.0,5.848084726628002,log_price_density,,,,
training_2021_2023,NestedOU,5,40000,1.0,7.807095423717914,log_price_density,,,,
training_2021_2023,NestedOU,60,40000,1.0,6.722753538959938,log_price_density,,,,
training_2021_2023,NestedOU,360,40000,1.0,6.21398262850806,log_price_density,,,,
training_2021_2023,NestedOU,1440,40000,1.0,5.94616064706858,log_price_density,,,,
validation_2024,NestedOU,5,40000,1.0,8.209575848574486,log_price_density,,,,
validation_2024,NestedOU,60,40000,1.0,7.106104642643501,log_price_density,,,,
validation_2024,NestedOU,360,40000,1.0,6.537767471258744,log_price_density,,,,
validation_2024,NestedOU,1440,40000,1.0,6.257516974936449,log_price_density,,,,
test_2025,NestedOU,5,40000,1.0,8.28991179368352,log_price_density,,,,
test_2025,NestedOU,60,40000,1.0,7.173077892602634,log_price_density,,,,
test_2025,NestedOU,360,40000,1.0,6.623964704897664,log_price_density,,,,
test_2025,NestedOU,1440,40000,1.0,6.366016030896404,log_price_density,,,,
training_2021_2023,FullyTimeVaryingMarginalCopula,5,40000,1.0,7.858096603106149,log_price_density,,,,
training_2021_2023,FullyTimeVaryingMarginalCopula,60,40000,1.0,6.732857179949991,log_price_density,,,,
training_2021_2023,FullyTimeVaryingMarginalCopula,360,40000,1.0,6.115266914606019,log_price_density,,,,
