asset,bin,state_center,drift_per_day,observations,weight,toward_zero
USDT,0,-0.0018618841456116315,0.004851078642288639,7393,0.03221575360373708,True
USDT,1,-0.0011427569508462936,-0.0007927561630889234,6796,0.029614265046800647,False
USDT,2,-0.0008864877043265919,-0.0002610024420147613,7301,0.03181485419462795,False
USDT,3,-0.0006243656772594541,0.0008747288891919664,6318,0.027531331160342332,True
USDT,4,-0.0004223833668969898,0.0004937731522966895,7935,0.03457757403566262,True
USDT,5,-0.00027705866404277314,0.0016555120327948064,5399,0.02352669467152394,True
USDT,6,-0.0001793844562013449,0.0032550864457607663,8369,0.036468773422112216,True
USDT,7,-8.521698144065674e-05,0.003943441622055293,15636,0.0681354691394607,True
USDT,8,3.241136856826244e-06,0.002462271787490727,23226,0.10120967039096408,False
USDT,9,7.599795411880776e-05,9.234769083629202e-05,2208,0.009621585818619162,False
USDT,10,0.00010869832379894917,-0.0011156373436348485,26468,0.11533701695978804,True
USDT,11,0.0002091665046088243,-0.0011599555371686675,22653,0.09871276428857785,True
USDT,12,0.0002999550089979424,-0.0007954767488628834,15662,0.06824876679855676,True
USDT,13,0.00034889475822963634,-0.00012616662613087302,3113,0.0135652158756166,True
USDT,14,0.000407914984714712,-0.0010336926762702081,16337,0.07119014833278137,True
USDT,15,0.0005063090830866747,-0.0009846797324556981,12943,0.05640044621847275,True
USDT,16,0.0006069465111981195,-0.001846528147926771,9226,0.040203238570009237,True
USDT,17,0.0007061627935137307,-0.0013486373685849956,6567,0.028616374126300744,True
USDT,18,0.0008496802221945594,-0.0021588154222829162,9830,0.04283523034285615,True
USDT,19,0.0011315756969739184,-0.002107703603755794,8676,0.0378065573199003,True
USDT,20,0.002508587938870584,-0.0037932879754000092,7428,0.032368269683289465,True
USDC,0,-0.004475401818062694,0.010042901231509888,6378,0.027792787296717855,True
USDC,1,-0.00020002000266704462,0.006852075618139636,8569,0.03734029387669729,True
USDC,2,-0.00010000500033334731,0.012515017458232774,69886,0.3045353924456607,True
USDC,3,0.0,-0.004363248175769505,110399,0.48107493332868523,False
USDC,4,0.00012727661680223695,-0.0150787254648672,34252,0.14925659305223893,True
DAI,0,-0.004550091026162183,0.04146631359982255,7359,0.03206759512645762,True
DAI,1,-0.0006543730844467004,0.00653475207839637,7345,0.03200658869463666,True
DAI,2,-0.0003817335669686115,0.003349775762880676,7017,0.03057729514911715,True
DAI,3,-0.00030253718250856183,0.00296316071469996,7743,0.03374091439926095,True
DAI,4,-0.00025402373755760145,0.0006816342446311815,7223,0.031474961217339774,True
DAI,5,-0.00021976448321470626,0.0013410783577016926,5930,0.0258405814784473,True
DAI,6,-0.0001900454879754059,0.0021092034122119773,7665,0.03340102142197277,True
DAI,7,-0.00015925577033863695,0.0018660852814889298,8640,0.037649683638074985,True
DAI,8,-0.00013498573889743123,0.0019788680508258365,7270,0.03167976852416726,True
DAI,9,-0.00012000720057606085,0.0008491874419863682,3899,0.01699029126213592,True
DAI,10,-0.00010444235533346144,0.0006027622041584424,9412,0.04101375259277335,True
DAI,11,-9.00040502430509e-05,0.0009020513851223887,5445,0.023727144376078507,True
DAI,12,-7.50264029198864e-05,0.00014664283724250617,10604,0.04620801450210037,True
DAI,13,-6.000180007195223e-05,3.264080190932441e-05,5497,0.023953739694270625,True
DAI,14,-5.000125004166273e-05,0.00015665897376581769,6375,0.027779714489899077,True
DAI,15,-4.0000800021373973e-05,-0.0006356593318857962,5905,0.025731641421624166,False
DAI,16,-2.5190829521042037e-05,-0.0023458911461583915,10105,0.044033570967910614,False
DAI,17,-1.0000050000287823e-05,-0.003986928364390839,4841,0.0210951526032316,False
DAI,18,3.4939691671772162e-06,0.0002658666590859799,11225,0.048914085513587,False
DAI,19,2.4868964315429886e-05,-0.0008535656730476396,6541,0.028503076467204687,True
DAI,20,4.917310347704993e-05,-0.0033076936856507506,8139,0.03546652489933939,True
DAI,21,8.045943537830914e-05,-0.0046577168553893706,6851,0.029853933171811543,True
DAI,22,0.00012237618252980694,-0.0033745236578923573,8805,0.038368688013107666,True
DAI,23,0.00023149717503960317,-0.00021929706271061112,7771,0.03386292726290286,True
DAI,24,0.0003963101053892615,0.001472139848088916,7382,0.0321678199787349,False
DAI,25,0.0005561636258331476,0.003451668230764394,7227,0.03149239162643147,False
DAI,26,0.0007131342789554135,0.005723576415914518,7113,0.030995624967317982,False
DAI,27,0.0008684734610916214,0.0018354887239780536,7734,0.033701695978804624,False
DAI,28,0.0010378290564568356,-3.4758508363363546e-05,7437,0.032407488103745795,True
DAI,29,0.001256943145877498,-0.010043184901724955,7533,0.03282581792194663,True
DAI,30,0.002012225358316948,-0.05398544364596493,7451,0.03246849453556675,True
