kappa,lambda,mean_loglik
0.3163845703410354,0.2540730953940195,8.818566246993672
0.3163845703410354,0.29031174724552056,8.818908398230896
0.3163845703410354,0.33171914742898384,8.819248683537111
0.3163845703410354,0.37903251871496474,8.819585367444489
0.3163845703410354,0.4330942345562576,8.819916403706031
0.3163845703410354,0.49486681681506367,8.820239389147291
0.3163845703410354,0.5654500726281616,8.82055151110972
0.3163845703410354,0.6461006755170664,8.820849487546786
0.3163845703410354,0.7382545393678304,8.821129498666565
0.3163845703410354,0.8435523836297413,8.821387108822083
0.3163845703410354,0.9638689448990682,8.821617177135515
0.3163845703410354,1.101346354974709,8.821813755106275
0.3163845703410354,1.2584322796530119,8.821969969197143
0.3163845703410354,1.4379234972898627,8.822077886116494
0.3163845703410354,1.6430156930084603,8.822128358215268
0.3163845703410354,1.8773603550953688,8.822110846088474
0.3163845703410354,2.1451297865757275,8.822013215105358
0.3163845703410354,2.451091389442208,8.821821502180294
0.3163845703410354,2.800692544103856,8.821519648627095
0.3163845703410354,3.200157595259617,8.821089194401733
0.3163845703410354,3.656598670945743,8.820508928419773
0.3163845703410354,4.178142307793895,8.819754488923287
0.3163845703410354,4.774074136952592,8.818797907054911
0.3163845703410354,5.455004206679104,8.817607085863383
0.3163845703410354,6.233055885026829,8.816145205905647
0.3163845703410354,7.122081705876312,8.814370047417784
0.3163845703410354,8.137910001260915,8.812233217694885
0.3163845703410354,9.298626711061289,8.809679270844386
0.3163845703410354,10.62489738744535,8.806644705455835
0.3163845703410354,12.140335127062933,8.803056823963491
0.3163845703410354,13.871920981708046,8.798832435572306
0.34273531346234193,0.2540730953940195,8.818485278791204
0.34273531346234193,0.29031174724552056,8.818829098799576
0.34273531346234193,0.33171914742898384,8.819171195344385
0.34273531346234193,0.37903251871496474,8.819509847373688
0.34273531346234193,0.4330942345562576,8.819843024123228
0.34273531346234193,0.49486681681506367,8.820168339091722
0.34273531346234193,0.5654500726281616,8.820482997657567
0.34273531346234193,0.6461006755170664,8.82078373739588
0.34273531346234193,0.7382545393678304,8.821066759983164
0.34273531346234193,0.8435523836297413,8.821327653382017
0.34273531346234193,0.9638689448990682,8.82156130278265
0.34273531346234193,1.101346354974709,8.82176178854385
0.34273531346234193,1.2584322796530119,8.821922269123766
0.34273531346234193,1.4379234972898627,8.822034846720225
0.34273531346234193,1.6430156930084603,8.822090413046206
0.34273531346234193,1.8773603550953688,8.822078472343
