null_loglik,alternative_loglik,lr,theta_null,kappa_null,sigma_null,theta_alt,kappa_alt,sigma_alt,lambda_alt,alternative_converged,alternative_gradient_norm,replication
200952.0543842554,200952.05438425546,1.1641532182693481e-10,-0.00044907414228949273,1.0454921905681858,0.0013284711940242853,-0.000449074962059612,1.0454921905539014,0.0013284711940061342,0.0,True,0.7906534094623265,0
201124.07527366027,201124.07527366027,0.0,-0.00038936163671575907,0.836848121097754,0.0013188842745442061,-0.00038936253072842136,0.8368481210790502,0.001318884274544206,0.0,True,0.7036163651948943,1
200917.2267044525,200917.22670445257,1.1641532182693481e-10,-1.285428655444795e-06,1.4220657173070557,0.0013311919581298415,-1.2860370248191021e-06,1.4220657173147802,0.0013311919581370732,0.0,True,0.40306993336983254,2
201296.8363166766,201296.8363166766,0.0,-0.00014677230742601345,0.7604482844667788,0.0013096280621787042,-0.00014677230742601345,0.7604482844667788,0.0013096280621787042,0.0,True,0.7896096221451401,3
200923.78550217312,200923.78550217312,0.0,-8.525454871333373e-06,0.9711779826619623,0.0013298028405160649,-8.526309161355744e-06,0.9711779826619623,0.0013298028405160653,0.0,True,0.6693403165515529,4
200975.9064072557,200975.9064072557,0.0,-3.8227458905920614e-05,1.1934489157676957,0.0013275448494680265,-3.8227458905920614e-05,1.1934489157676957,0.0013275448494680265,0.0,True,0.7320409168643381,5
200936.14436691254,200936.14436691257,5.820766091346741e-11,-3.8809281927033484e-05,1.256146497199398,0.0013298025010424546,-3.880928214829222e-05,1.256146497199398,0.0013298025010424477,0.0,True,0.7009864690456542,6
201141.069109104,201141.06910910402,5.820766091346741e-11,4.883096869804862e-05,1.1028876344448102,0.0013185962646628572,4.883014849954425e-05,1.1028876344315075,0.0013185962646628567,0.0,True,0.7559055604380776,7
201060.56461848304,201060.5646184831,1.1641532182693481e-10,-4.23661906909616e-05,1.1419152830835122,0.0013229387434668446,-4.2367030364379274e-05,1.1419152830835122,0.001322938743482062,0.0,True,0.6641981188185565,8
201237.42712720815,201237.4271272082,1.1641532182693481e-10,9.413965942393661e-05,0.981898637848422,0.0013132482092406978,9.413965937888045e-05,0.981898637848422,0.0013132482092406974,0.0,True,0.6424793142689954,9
201098.1406228497,201098.1406228497,0.0,-0.00022443384576714104,0.9600774738571871,0.0013205353677833223,-0.00022443384576714104,0.9600774738571871,0.0013205353677833223,0.0,True,0.7819572545404673,10
201027.26714102903,201027.26714102906,5.820766091346741e-11,0.00022203748452020747,0.8794619438025889,0.001324099183572814,0.00022203666098835972,0.8794619438025889,0.0013240991835480314,0.0,True,0.7808315772018358,11
201106.6182314356,201106.6182314356,0.0,0.00017311836076266176,0.6043592287727407,0.0013192733919505904,0.00017311748329832592,0.6043592287474882,0.00131927339195059,0.0,True,0.7747109620547735,12
201119.23074507082,201119.23074507082,0.0,-0.00010706962152225307,0.8409132961595427,0.0013191491751608467,-0.00010706962152653745,0.8409132961595427,0.0013191491751608471,0.0,True,0.766990204717692,13
200939.0413171265,200939.0413171265,0.0,-9.062512537378244e-05,1.1612484323067223,0.0013294296752168564,-9.062512537378244e-05,1.1612484323067223,0.0013294296752168564,0.0,True,0.7382539025450792,14
201131.4853042644,201131.4853042644,0.0,-3.023520830840441e-05,1.2612961215269285,0.0013194641742012593,-3.0235791856492216e-05,1.2612961215186584,0.0013194641741926085,0.0,True,0.6604819803683034,15
201188.9251372656,201188.9251372656,0.0,-4.771206694449634e-05,1.3237674593759694,0.0013165786332213101,-4.771266867881288e-05,1.3237674593679234,0.0013165786332213097,0.0,True,0.7485894572523436,16
201244.63147570568,201244.6314757057,5.820766091346741e-11,-0.00010215342113159388,1.0958567328321625,0.0013131292764766364,-0.00010215342113163167,1.0958567328321625,0.0013131292764766358,0.0,True,0.7420361215384451,17
200928.54492249707,200928.54492249707,0.0,-7.70544745480899e-06,1.3835077879546074,0.001330500502497988,-7.706274965979663e-06,1.3835077879438067,0.0013305005024979884,0.0,True,0.7518869084562995,18
201152.24691067854,201152.24691067854,0.0,5.328280520406295e-06,1.1937333438174795,0.0013182144499455685,5.328280520406295e-06,1.1937333438174795,0.0013182144499455685,0.0,True,0.7711706829563689,19
201163.41900849208,201163.4190084921,5.820766091346741e-11,-3.199247101148725e-05,1.3212622437901833,0.001317916828337147,-3.1992694004233836e-05,1.3212622437901833,0.0013179168283341785,0.0,True,0.7334451270489414,20
201030.9384067911,201030.9384067911,0.0,5.0634824181057566e-05,1.4187224819647737,0.001325143144540772,5.063426246492512e-05,1.4187224819647737,0.0013251431445474185,0.0,True,0.6662931542156669,21
200984.89341563912,200984.89341563918,1.1641532182693481e-10,-0.0001458526713573373,0.9930341764369597,0.001326606630406792,-0.00014585273689109824,0.9930341764345932,0.0013266066304067924,0.0,True,0.7450887907297798,22
201048.98512318367,201048.98512318367,0.0,-0.00023263351603497356,1.4488141182338143,0.001324255976156117,-0.00023263351638760953,1.4488141182338143,0.0013242559761561133,0.0,True,0.766138974770725,23
201221.04148501848,201221.04148501848,0.0,-0.00014524405532869437,0.9882004525534518,0.0013141235888840877,-0.00014524405532869437,0.9882004525534518,0.0013141235888840877,0.0,True,0.7569294524942208,24
201149.9204378248,201149.92043782488,1.7462298274040222e-10,-1.3122691811744819e-05,1.0937237911969686,0.0013181085502476553,-1.3123295752477851e-05,1.0937237911873956,0.0013181085502476555,0.0,True,0.7305073879890064,25
201111.343238549,201111.343238549,0.0,-0.00011776590229467617,0.7965071329934983,0.0013194638024214569,-0.0001177667483757917,0.7965071329934983,0.0013194638023594364,0.0,True,0.7876385765994606,26
201212.27223601597,201212.27223601597,0.0,-0.00019091991755717535,1.0395571720620291,0.0013147017021302501,-0.00019091991755717535,1.0395571720620291,0.0013147017021302501,0.0,True,0.7791536305562238,27
200990.6318973661,200990.6318973661,0.0,-0.00021086630768573427,1.0664518032186558,0.0013264710183115227,-0.00021086715039668837,1.0664518032186558,0.0013264710183115225,0.0,True,0.7930889723288067,28
201078.99199710335,201078.99199710338,5.820766091346741e-11,-0.0005266596089320037,0.6015659898344842,0.0013207256597498195,-0.0005266604696415961,0.6015659898617355,0.0013207256598096496,0.0,True,0.813615841372059,29
201161.7081179784,201161.70811797844,5.820766091346741e-11,-7.587455738223863e-05,1.3387548956725461,0.0013180469896718324,-7.587455741160411e-05,1.3387548956725457,0.001318046989671832,0.0,True,0.7408145210560341,30
201192.79670535156,201192.79670535156,0.0,-0.00016583855695714378,1.4091972589640467,0.001316569704647985,-0.00016583939108241326,1.4091972589745418,0.001316569704647985,0.0,True,0.7028150508000132,31
200973.18877291583,200973.18877291583,0.0,-8.309177046081886e-06,1.0546640012527686,0.0013273697217585027,-8.309177046081886e-06,1.0546640012527686,0.0013273697217585027,0.0,True,0.6154362353905337,32
201155.6124459492,201155.61244594923,5.820766091346741e-11,-9.730995629522474e-05,1.247888166676662,0.001318160752957751,-9.731052125824657e-05,1.247888166676662,0.001318160752957751,0.0,True,0.74407644503204,33
201030.31422132373,201030.31422132373,0.0,-0.00022669191745798475,0.9517199982096259,0.0013241037277045517,-0.00022669191745798475,0.9517199982096259,0.0013241037277045517,0.0,True,0.7514051603597154,34
201050.1331628994,201050.1331628994,0.0,0.00018908491515344503,1.1815185869281353,0.0013235817440722384,0.0001890847614789466,1.1815185869281353,0.0013235817440695973,0.0,True,0.7535911451595959,35
201053.52341195094,201053.52341195094,0.0,7.750705041776077e-06,1.4080749250138305,0.00132392211719006,7.749874385564706e-06,1.4080749250138305,0.0013239221172000573,0.0,True,0.7180451790613689,36
201017.5319406084,201017.5319406084,0.0,4.0479774308848494e-05,1.214500038312714,0.0013253846686925126,4.047895398243389e-05,1.2145000383005642,0.0013253846686792537,0.0,True,0.707760783417037,37
201068.35073956824,201068.35073956827,5.820766091346741e-11,-0.00016627855354189134,1.2650266767633265,0.0013228090919047905,-0.00016627939775340806,1.265026676775326,0.0013228090919173382,0.0,True,0.7618604415139872,38
201245.8483215005,201245.8483215005,0.0,-8.456223527727202e-05,1.3570553818394977,0.001313660088004926,-8.456285011415982e-05,1.357055381847444,0.0013136600880049253,0.0,True,0.7236026890636013,39
200920.39084248428,200920.39084248428,0.0,-0.00012541830789688816,1.0017574739852535,0.001330053951168417,-0.00012541911778894007,1.0017574740153021,0.0013300539511684165,0.0,True,0.7500553067994704,40
201078.8498303138,201078.84983031382,5.820766091346741e-11,-4.602809116393466e-05,0.8644086908518511,0.001321335478726539,-4.6028900010936926e-05,0.8644086908518511,0.0013213354787004717,0.0,True,0.788575249568539,41
201144.82788608098,201144.82788608098,0.0,-0.00039144422414585895,1.1648929178017833,0.0013185397715497287,-0.00039144508933737005,1.1648929178150444,0.0013185397715497291,0.0,True,0.7747868125686459,42
200904.27325372014,200904.27325372017,5.820766091346741e-11,-0.00016300750020154442,1.3522419648237143,0.0013317206938873514,-0.00016300750020154442,1.3522419648237143,0.001331720693887351,0.0,False,0.6932195264633731,43
201162.94073648762,201162.94073648765,5.820766091346741e-11,-6.514064018636775e-05,1.457580443663709,0.0013182534855231244,-6.51408113582712e-05,1.4575804436616124,0.0013182534855231242,0.0,True,0.6569553793090915,44
200976.26235534795,200976.26235534795,0.0,-6.5546029007263865e-06,1.1574137934273696,0.0013274430123790192,-6.5546029007263865e-06,1.1574137934273696,0.0013274430123790192,0.0,True,0.6887887594473241,45
201005.3917979269,201005.39179792692,5.820766091346741e-11,-0.00010768273652220559,1.0000743509958805,0.0013255355272311965,-0.00010768331724617239,1.0000743509958805,0.0013255355272172012,0.0,True,0.7503897947963666,46
200890.00156630625,200890.00156630625,0.0,-8.136677129981745e-05,1.3639784360948009,0.0013325082549763404,-8.136737541996654e-05,1.3639784361028793,0.0013325082549842323,0.0,True,0.7351491861447194,47
201066.92826063232,201066.92826063232,0.0,-0.00014335335047149374,1.47111985137854,0.001323357024597962,-0.00014335335047153673,1.47111985137854,0.0013233570245979622,0.0,True,0.6109258880470554,48
200842.41548226788,200842.41548226794,1.1641532182693481e-10,-0.00024726021799794,1.0637883205130712,0.001334352405067365,-0.0002472610596118992,1.0637883205275114,0.0013343524050673649,0.0,True,0.7593849105653976,49
201258.31151925804,201258.31151925807,5.820766091346741e-11,-5.578453936545313e-05,1.1780259328153537,0.0013125979151603127,-5.578514188285639e-05,1.1780259328153537,0.0013125979151603125,0.0,True,0.3824698781930549,50
201186.73577565144,201186.73577565144,0.0,3.5006066352731445e-05,0.7471333372187763,0.0013153780311542732,3.500527357224672e-05,0.7471333372187763,0.0013153780311542735,0.0,True,0.8057197575937566,51
200896.93609097815,200896.93609097815,0.0,-9.801530049505575e-05,1.3934144672390345,0.0013322066647897502,-9.801613121845736e-05,1.3934144672390345,0.0013322066647897507,0.0,True,0.7532104719370446,52
201010.40836322145,201010.40836322145,0.0,-2.581123853925113e-05,0.8745565366689236,0.001324981119891449,-2.581208129713556e-05,0.8745565366689236,0.0013249811198914492,0.0,True,0.7002510571688669,53
200800.76908481942,200800.76908481942,0.0,-5.028834972277955e-06,1.3260458121866603,0.001337184947367662,-5.028834972277955e-06,1.3260458121866603,0.001337184947367662,0.0,True,0.7319393092965711,54
201006.57348990807,201006.57348990807,0.0,-7.332089190257576e-05,0.9868357165407853,0.0013254424447775369,-7.332162524236816e-05,0.9868357165273837,0.0013254424447775367,0.0,True,0.7392156220927788,55
200993.48923116658,200993.48923116658,0.0,0.00016899097872095684,1.4612340621382105,0.0013272274416968382,0.00016899037398708449,1.4612340621382105,0.0013272274417036403,0.0,True,0.745362882759413,56
201123.3579182416,201123.3579182416,0.0,-0.00016633082333232993,0.8147453331550404,0.0013188715579195973,-0.00016633095093022848,0.8147453331550404,0.0013188715579195971,0.0,True,0.7329497009618066,57
200959.12296538567,200959.12296538567,0.0,3.230532210514484e-05,1.0115618105620487,0.0013280174922851108,3.230532210514484e-05,1.0115618105620487,0.0013280174922851108,0.0,True,0.7578877970129143,58
201260.7426525621,201260.7426525621,0.0,-8.479110315316592e-05,1.0592804412199368,0.0013122000826903994,-8.479190986493944e-05,1.0592804412063728,0.0013122000826903994,0.0,True,0.7530520207999033,59
201200.97272848053,201200.97272848053,0.0,0.0001461286941975558,0.9971715666015293,0.0013151993858079908,0.0001461286826653348,0.9971715666015293,0.0013151993858079903,0.0,True,0.7481702369411642,60
201055.080281538,201055.080281538,0.0,-0.00014734288112150149,1.076253591336049,0.0013230783523791785,-0.00014734369681614542,1.0762535913639186,0.0013230783523963095,0.0,True,0.6886534010377359,61
201055.76479463678,201055.76479463678,0.0,-0.00019150359037880955,1.0579333728203675,0.0013230000983444777,-0.00019150359037880955,1.0579333728203675,0.0013230000983444777,0.0,True,0.7444890926563361,62
201185.00098097246,201185.0009809725,5.820766091346741e-11,-6.0931514250229656e-05,1.2556065262610432,0.0013166297279120214,-6.093151425067953e-05,1.2556065262610432,0.0013166297279120214,0.0,True,0.7528916158883612,63
201020.6718379667,201020.6718379667,0.0,-2.518027016553358e-05,0.9169092657739061,0.0013245345623411737,-2.5180864536156012e-05,0.9169092657739061,0.0013245345623411737,0.0,True,0.7771790322766684,64
200754.37686321558,200754.3768632156,5.820766091346741e-11,-0.00015465318084092384,1.094715736665098,0.0013391314811704142,-0.00015465326239978813,1.0947157366623923,0.0013391314811671046,0.0,True,0.7644228362314085,65
201146.43373433105,201146.43373433105,0.0,-8.666910188634228e-05,1.354552646324167,0.0013188886457685069,-8.666910188634228e-05,1.354552646324167,0.0013188886457685069,0.0,True,0.6892753036657807,66
200890.00684587093,200890.00684587096,5.820766091346741e-11,2.6581246432094794e-05,1.3414491350695674,0.0013324559373120483,2.6580387937968712e-05,1.3414491350695674,0.0013324559373236026,0.0,True,0.6942812548623171,67
201141.83512997878,201141.83512997878,0.0,1.2926821194685412e-05,0.8185812684371755,0.00131790592370188,1.2925961117294823e-05,0.8185812684371755,0.0013179059237018805,0.0,True,0.7291832915478708,68
201277.13332047037,201277.13332047037,0.0,-0.00014896012489399034,0.9002523224834906,0.001310978463130169,-0.00014896096225816276,0.9002523225002426,0.0013109784631545641,0.0,True,0.6666432739508559,69
201063.49069804072,201063.49069804072,0.0,5.253114039677085e-05,1.0751791684779282,0.001322630857583827,5.253032086013531e-05,1.0751791684641603,0.0013226308576007636,0.0,True,0.7563055959889694,70
201157.34326319184,201157.34326319187,5.820766091346741e-11,-0.00028497006193248725,0.9698466466644693,0.0013174342194027092,-0.0002849708123211773,0.9698466466644693,0.0013174342194217196,0.0,True,0.783744624797642,71
200934.16651975177,200934.16651975177,0.0,4.474609042367408e-05,1.3112438841732128,0.0013300347406768312,4.474609042367408e-05,1.3112438841732128,0.0013300347406768312,0.0,True,0.757977147847209,72
