gamma_kappa_minus_d,profile_loglik
-0.001,448411.5018747297
-0.0009750000000000001,450231.6171762376
-0.00095,451958.8503159244
-0.000925,453596.6707570513
-0.0009,455148.4128937359
-0.000875,456617.28148589004
-0.0008500000000000001,458006.3568693487
-0.000825,459318.5999504638
-0.0008,460556.85699447634
-0.000775,461723.86421632295
-0.00075,462822.25218233984
-0.000725,463854.55003068823
-0.0007,464823.1895183088
-0.000675,465730.5089016161
-0.00065,466578.7566580537
-0.000625,467370.09505507065
-0.0006000000000000001,468106.60357304453
-0.000575,468790.2821882036
-0.0005499999999999999,469423.0545215334
-0.0005250000000000001,470006.770859148
-0.0005,470543.2110496096
-0.00047499999999999994,471034.08728328854
-0.00045,471481.04675875645
-0.00042500000000000003,471885.6742408365
-0.00039999999999999996,472249.4945148914
-0.000375,472573.9747416852
-0.00034999999999999994,472860.5267168946
-0.000325,473110.50903927843
-0.00030000000000000003,473325.22919128765
-0.00027499999999999996,473505.94553575106
-0.00025,473653.8692320991
-0.00022499999999999994,473770.1660754736
-0.00019999999999999998,473855.958261904
-0.00017500000000000003,473912.32608260616
-0.00014999999999999996,473940.3095503238
-0.000125,473940.90996052074
-9.999999999999994e-05,473915.09139009746
-7.499999999999998e-05,473863.7821362139
-5.000000000000002e-05,473787.8760976643
-2.4999999999999957e-05,473688.2341011721
0.0,473565.68517486466
2.5000000000000066e-05,473421.027771082
5.000000000000013e-05,473255.030940592
7.499999999999998e-05,473068.43546022143
0.00010000000000000005,472861.9549157633
0.0001250000000000001,472636.2767420196
0.00014999999999999996,472392.0632217135
0.00017500000000000003,472129.95244494115
0.0002000000000000001,471850.5592307674
0.00022499999999999994,471554.4760125069
0.00025,471242.2736881609
0.00027500000000000007,470914.5024374351
0.00030000000000000014,470571.6925066455
0.000325,470214.35496287973
0.00035000000000000005,469842.9824185898
0.0003750000000000001,469458.04972786485
0.00039999999999999996,469060.01465546456
0.00042500000000000003,468649.3185197686
0.0004500000000000001,468226.3868106547
0.00047499999999999994,467791.6297833378
0.0005,467345.44302907994
0.0005250000000000001,466888.2080237778
0.0005500000000000001,466420.292655268
0.000575,465942.05173017044
0.0006000000000000001,465453.8274611601
0.0006250000000000001,464955.94993539323
0.00065,464448.73756486963
0.000675,463932.4975194017
0.0007000000000000001,463407.52614295454
0.0007250000000000002,462874.1093539555
0.00075,462332.5230302561
0.0007750000000000001,461783.0333792896
0.0008000000000000001,461225.8972940919
0.000825,460661.36269568
0.0008500000000000001,460089.6688623793
0.0008750000000000001,459511.0467465358
0.0009,458925.71927920915
0.000925,458333.90166324103
0.0009500000000000001,457735.8016552188
0.0009750000000000002,457131.6198366833
0.001,456521.549875106
