test_name,initialization,replications,formal_replication_requirement,formal_requirement_met,selected_continuous_segments,selected_pairs,observed_lr,finite_fit_replications,failed_or_nonconverged_replications,finite_only_corrected_pvalue,conservative_corrected_pvalue,critical_95_finite,path_level_design,same_segment_lengths_observed_and_bootstrap,ouf_refit_each_replication,mou_ifm_refit_each_replication,mou_uqml_refit_each_replication,scope
path_level_OU_null_MOU_UQML_boundary_bootstrap,empirical_segment_initial,99,1999,False,101,25000,8081.462768572674,99,0,0.01,0.01,1.1641532182693481e-10,True,True,True,True,True,pilot; no formal boundary-test claim until B>=1999
path_level_OU_null_MOU_UQML_boundary_bootstrap,stationary_initial,99,1999,False,101,25000,8081.462768572674,99,0,0.01,0.01,1.1641532182693481e-10,True,True,True,True,True,pilot; no formal boundary-test claim until B>=1999
