sample,variable,n,mean,std,min,p01,p05,median,p95,p99,max,skew,excess_kurtosis
baseline,close,524835,1.0000674044413962,0.0007352929228668947,0.9504,0.99849,0.99893,1.0001,1.0009,1.0019,1.0186,-2.343878863613132,266.8633145952591
baseline,deviation,524835,6.740444139585985e-05,0.0007352929228668948,-0.04959999999999998,-0.0015100000000000113,-0.0010700000000000154,9.999999999998899e-05,0.0008999999999999009,0.0019000000000000128,0.01859999999999995,-2.34387886361178,266.8633145952546
baseline,log_price,524835,6.713154816922092e-05,0.0007359271519677903,-0.05087233037375655,-0.0015111411989516307,-0.001070572858675662,9.999500033329732e-05,0.0008995952428359939,0.0018981972830802655,0.018429135468367143,-2.6444943579334086,283.93645804715936
baseline,log_range,524835,9.121372068856308e-05,0.0003220489912887671,0.0,9.993054826727692e-06,9.99805038028056e-06,9.988513218117293e-05,0.0002000400086686979,0.0003999200213268913,0.05089615379456276,104.5519032887119,13963.53706656366
baseline,volume,524835,481620.4568223125,959931.0315144783,2.5956,2519.1329078234,8588.25872521,176477.01366776,1943985.5929597835,4493451.725539765,35926524.51026859,6.848095419863947,87.84187286383819
baseline,trades,524835,127.10965732087227,157.88905780392696,1.0,7.0,14.0,77.0,405.0,756.0,5045.0,4.623977489060084,46.425993824193775
baseline,log_volume,524835,11.95601009040426,1.652890656883198,1.2797108757171072,7.832066920178962,9.058267716163451,12.080951579141576,14.480251367210967,15.318131944639006,17.396986452779192,-0.36777444456207936,0.1199092620223774
baseline,log_trades,524835,4.350191611583146,1.0139804109115114,0.6931471805599453,2.0794415416798357,2.70805020110221,4.356708826689592,6.0063531596017325,6.6293632534374485,8.526351129201004,-0.016990232479877014,-0.21130421808923172
