horizon_minutes,n_pairs,empirical_gaussian_rho,SingleGaussian,SingleMixed,TwoScaleGaussian,TwoScaleMixed
5,524610,0.9912826903232085,0.9960501216682285,0.9960516967532366,0.9916163792514339,0.9911964382466195
10,524494,0.9886797515971122,0.9921158448752928,0.9921189826050015,0.9874434203838216,0.985980212048954
30,524279,0.9806730799482593,0.9765335242536595,0.9765427896271254,0.9807625367955418,0.9747973216502603
60,524143,0.9715999574635226,0.9536177239912726,0.9536358199727281,0.9738796627860435,0.9616992385672443
120,524017,0.9566437724087297,0.909386763510295,0.9094212771350574,0.960387936150059,0.9362383054225311
360,523734,0.9163014099835464,0.7520485629990618,0.7521341929248188,0.908265734687327,0.8409627541348335
