model,group_variable,quartile,nobs,pit_mean,pit_variance,lower_1pct,upper_99pct
OU0,volume,1,131153,0.5000841409499263,0.03519021230356103,0.0014715637461590661,0.0017918004163076711
OU0,volume,2,131152,0.5019400109228782,0.03998574501733056,0.005939673051116262,0.006214163718433573
OU0,volume,3,131152,0.5010607186578698,0.048146618200700764,0.011642979138709283,0.011749725509332683
OU0,volume,4,131153,0.5027723132770318,0.06440498649458533,0.022508063101873383,0.021661723330766356
OU0,trades,1,133501,0.49922386778199407,0.03806221689129862,0.0008314544460341121,0.001086134186260777
OU0,trades,2,129706,0.4996791356118434,0.03611144001827625,0.0035464820440072164,0.003268931275345782
OU0,trades,3,131124,0.5021481671397817,0.04658763696452106,0.008709313321741253,0.008762697904273817
OU0,trades,4,130279,0.5048491347241844,0.06712410207480728,0.02869226813223927,0.028508048112128585
OUF,volume,1,131153,0.4983669624830202,0.035193318528644345,0.0014791884287816519,0.0017918004163076711
OUF,volume,2,131152,0.5002718546530092,0.03998984475290381,0.005947297791875077,0.006214163718433573
OUF,volume,3,131152,0.499452792985702,0.04814937666243517,0.011681102842503354,0.011719226546297427
OUF,volume,4,131153,0.5012818586953085,0.0644051548312484,0.022553811197608898,0.021600725869785672
OUF,trades,1,133501,0.4975202954937064,0.0380643430678252,0.0008314544460341121,0.001086134186260777
OUF,trades,2,129706,0.49797046416821156,0.036111724768865074,0.0035696112747290024,0.003268931275345782
OUF,trades,3,131124,0.5005261565503983,0.0465901573407679,0.008739818797474147,0.008739818797474147
OUF,trades,4,130279,0.5034013393217005,0.06712798136002752,0.028738323137266944,0.02843896560458708
