sample,model,nobs,loglik,aic,bic,converged,gradient_norm,hessian_condition,weak_identification,likelihood_type,acceptance_pass
baseline,AffineTransformedOU,120000,977436.9775026316,-1954867.9550052632,-1954838.869264198,True,4.689716638603837e-06,8164.976406310979,False,exact_transition,True
baseline,AffineTransformedCIR,120000,966695.0310180418,-1933382.0620360835,-1933343.2810479966,True,,,True,exact_transition,False
