period,model_mixed,marginal,copula_mixed,horizon_minutes,n_pairs_mixed,finite_score_coverage_mixed,mean_log_score_mixed,comparison_group_mixed,evaluation_error_mixed,copula_family,model_base,copula_base,n_pairs_base,finite_score_coverage_base,mean_log_score_base,comparison_group_base,evaluation_error_base,mixed_minus_base_log_score
validation_2024,Normal_FrankMixed,Normal,FrankMixed,5,40000,1.0,5.384161970711335,log_price_density,,Frank,Normal_Frank,Frank,40000,1.0,8.359236541930159,log_price_density,,-2.9750745712188236
validation_2024,Normal_FrankMixed,Normal,FrankMixed,60,40000,1.0,5.598957561166557,log_price_density,,Frank,Normal_Frank,Frank,40000,1.0,6.380112099861768,log_price_density,,-0.781154538695211
validation_2024,Normal_FrankMixed,Normal,FrankMixed,360,40000,1.0,5.94263727024034,log_price_density,,Frank,Normal_Frank,Frank,40000,1.0,5.873465096400778,log_price_density,,0.06917217383956142
validation_2024,Normal_FrankMixed,Normal,FrankMixed,1440,40000,1.0,5.866636841391665,log_price_density,,Frank,Normal_Frank,Frank,40000,1.0,5.866625212425774,log_price_density,,1.1628965891574694e-05
test_2025,Normal_FrankMixed,Normal,FrankMixed,5,40000,1.0,5.892059883377907,log_price_density,,Frank,Normal_Frank,Frank,40000,1.0,8.537450545002354,log_price_density,,-2.6453906616244467
test_2025,Normal_FrankMixed,Normal,FrankMixed,60,40000,1.0,5.914956624780474,log_price_density,,Frank,Normal_Frank,Frank,40000,1.0,6.452232132267556,log_price_density,,-0.5372755074870827
test_2025,Normal_FrankMixed,Normal,FrankMixed,360,40000,1.0,6.158180773127513,log_price_density,,Frank,Normal_Frank,Frank,40000,1.0,6.02386812226016,log_price_density,,0.13431265086735245
test_2025,Normal_FrankMixed,Normal,FrankMixed,1440,40000,1.0,6.027355760388123,log_price_density,,Frank,Normal_Frank,Frank,40000,1.0,6.02733393195755,log_price_density,,2.182843057330075e-05
training_2021_2023,Normal_ClaytonMixed,Normal,ClaytonMixed,5,40000,1.0,7.7015668177044585,log_price_density,,Clayton,Normal_Clayton,Clayton,40000,1.0,7.750708911087902,log_price_density,,-0.049142093383443886
training_2021_2023,Normal_ClaytonMixed,Normal,ClaytonMixed,60,40000,1.0,7.541856269173068,log_price_density,,Clayton,Normal_Clayton,Clayton,40000,1.0,6.000862784721232,log_price_density,,1.5409934844518363
training_2021_2023,Normal_ClaytonMixed,Normal,ClaytonMixed,360,40000,1.0,6.6178611108104874,log_price_density,,Clayton,Normal_Clayton,Clayton,40000,1.0,5.6728368226001145,log_price_density,,0.945024288210373
training_2021_2023,Normal_ClaytonMixed,Normal,ClaytonMixed,1440,40000,1.0,5.654830585844859,log_price_density,,Clayton,Normal_Clayton,Clayton,40000,1.0,5.654660028962081,log_price_density,,0.00017055688277789471
validation_2024,Normal_ClaytonMixed,Normal,ClaytonMixed,5,40000,1.0,5.440032976221268,log_price_density,,Clayton,Normal_Clayton,Clayton,40000,1.0,8.306746216688463,log_price_density,,-2.8667132404671953
validation_2024,Normal_ClaytonMixed,Normal,ClaytonMixed,60,40000,1.0,5.644714540969087,log_price_density,,Clayton,Normal_Clayton,Clayton,40000,1.0,6.267137890000359,log_price_density,,-0.6224233490312718
validation_2024,Normal_ClaytonMixed,Normal,ClaytonMixed,360,40000,1.0,5.950053328808525,log_price_density,,Clayton,Normal_Clayton,Clayton,40000,1.0,5.868828103793206,log_price_density,,0.08122522501531915
validation_2024,Normal_ClaytonMixed,Normal,ClaytonMixed,1440,40000,1.0,5.866635775027807,log_price_density,,Clayton,Normal_Clayton,Clayton,40000,1.0,5.866624675743292,log_price_density,,1.1099284514592966e-05
test_2025,Normal_ClaytonMixed,Normal,ClaytonMixed,5,40000,1.0,5.965802434555204,log_price_density,,Clayton,Normal_Clayton,Clayton,40000,1.0,8.449977415938363,log_price_density,,-2.484174981383159
test_2025,Normal_ClaytonMixed,Normal,ClaytonMixed,60,40000,1.0,5.960713735271443,log_price_density,,Clayton,Normal_Clayton,Clayton,40000,1.0,6.309009301162234,log_price_density,,-0.34829556589079136
test_2025,Normal_ClaytonMixed,Normal,ClaytonMixed,360,40000,1.0,6.162951352262724,log_price_density,,Clayton,Normal_Clayton,Clayton,40000,1.0,6.021098770693237,log_price_density,,0.14185258156948777
test_2025,Normal_ClaytonMixed,Normal,ClaytonMixed,1440,40000,1.0,6.027350758522614,log_price_density,,Clayton,Normal_Clayton,Clayton,40000,1.0,6.027333626315591,log_price_density,,1.713220702281859e-05
training_2021_2023,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,5,40000,1.0,7.677936581450997,log_price_density,,SurvivalClayton,Normal_SurvivalClayton,SurvivalClayton,40000,1.0,7.673310035218234,log_price_density,,0.004626546232762152
training_2021_2023,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,60,40000,1.0,7.504980871792932,log_price_density,,SurvivalClayton,Normal_SurvivalClayton,SurvivalClayton,40000,1.0,6.010453550563933,log_price_density,,1.4945273212289987
training_2021_2023,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,360,40000,1.0,6.61857702466983,log_price_density,,SurvivalClayton,Normal_SurvivalClayton,SurvivalClayton,40000,1.0,5.674181928115576,log_price_density,,0.9443950965542536
training_2021_2023,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,1440,40000,1.0,5.66759920767411,log_price_density,,SurvivalClayton,Normal_SurvivalClayton,SurvivalClayton,40000,1.0,5.654660045427781,log_price_density,,0.012939162246328628
validation_2024,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,5,40000,1.0,5.462453841660623,log_price_density,,SurvivalClayton,Normal_SurvivalClayton,SurvivalClayton,40000,1.0,7.97073285498944,log_price_density,,-2.508279013328817
validation_2024,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,60,40000,1.0,5.630323830027476,log_price_density,,SurvivalClayton,Normal_SurvivalClayton,SurvivalClayton,40000,1.0,6.167177318346119,log_price_density,,-0.5368534883186431
validation_2024,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,360,40000,1.0,5.9426504566861915,log_price_density,,SurvivalClayton,Normal_SurvivalClayton,SurvivalClayton,40000,1.0,5.868333974255284,log_price_density,,0.07431648243090727
validation_2024,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,1440,40000,1.0,5.866635229510186,log_price_density,,SurvivalClayton,Normal_SurvivalClayton,SurvivalClayton,40000,1.0,5.866624671982572,log_price_density,,1.0557527613919149e-05
test_2025,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,5,40000,1.0,5.932865030939854,log_price_density,,SurvivalClayton,Normal_SurvivalClayton,SurvivalClayton,40000,1.0,8.137928996955168,log_price_density,,-2.205063966015314
test_2025,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,60,40000,1.0,5.938373741017889,log_price_density,,SurvivalClayton,Normal_SurvivalClayton,SurvivalClayton,40000,1.0,6.236276262110022,log_price_density,,-0.29790252109213267
test_2025,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,360,40000,1.0,6.1542244817634915,log_price_density,,SurvivalClayton,Normal_SurvivalClayton,SurvivalClayton,40000,1.0,6.020891067223236,log_price_density,,0.13333341454025582
test_2025,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,1440,40000,1.0,6.0273514725998405,log_price_density,,SurvivalClayton,Normal_SurvivalClayton,SurvivalClayton,40000,1.0,6.027333624370951,log_price_density,,1.7848228889505435e-05
training_2021_2023,Normal_GumbelMixed,Normal,GumbelMixed,5,40000,1.0,7.5514236737577205,log_price_density,,Gumbel,Normal_Gumbel,Gumbel,40000,1.0,7.904768398061181,log_price_density,,-0.35334472430346064
training_2021_2023,Normal_GumbelMixed,Normal,GumbelMixed,60,40000,1.0,7.425885367100378,log_price_density,,Gumbel,Normal_Gumbel,Gumbel,40000,1.0,6.271719879047792,log_price_density,,1.1541654880525858
training_2021_2023,Normal_GumbelMixed,Normal,GumbelMixed,360,40000,1.0,6.560559153215574,log_price_density,,Gumbel,Normal_Gumbel,Gumbel,40000,1.0,5.7326867712850715,log_price_density,,0.8278723819305025
training_2021_2023,Normal_GumbelMixed,Normal,GumbelMixed,1440,40000,1.0,5.666334255234417,log_price_density,,Gumbel,Normal_Gumbel,Gumbel,40000,1.0,5.658559469556046,log_price_density,,0.007774785678370755
validation_2024,Normal_GumbelMixed,Normal,GumbelMixed,5,40000,1.0,5.2569261740911895,log_price_density,,Gumbel,Normal_Gumbel,Gumbel,40000,1.0,8.315217245823456,log_price_density,,-3.058291071732267
validation_2024,Normal_GumbelMixed,Normal,GumbelMixed,60,40000,1.0,5.58721546025703,log_price_density,,Gumbel,Normal_Gumbel,Gumbel,40000,1.0,6.427193668086731,log_price_density,,-0.8399782078297005
validation_2024,Normal_GumbelMixed,Normal,GumbelMixed,360,40000,1.0,5.935305527420401,log_price_density,,Gumbel,Normal_Gumbel,Gumbel,40000,1.0,5.879518169874872,log_price_density,,0.05578735754552877
validation_2024,Normal_GumbelMixed,Normal,GumbelMixed,1440,40000,1.0,5.866628625658619,log_price_density,,Gumbel,Normal_Gumbel,Gumbel,40000,1.0,5.866624678042892,log_price_density,,3.947615726751508e-06
test_2025,Normal_GumbelMixed,Normal,GumbelMixed,5,40000,1.0,5.810791136749898,log_price_density,,Gumbel,Normal_Gumbel,Gumbel,40000,1.0,8.429954334256518,log_price_density,,-2.6191631975066203
test_2025,Normal_GumbelMixed,Normal,GumbelMixed,60,40000,1.0,5.905863459942801,log_price_density,,Gumbel,Normal_Gumbel,Gumbel,40000,1.0,6.46901949640931,log_price_density,,-0.5631560364665091
test_2025,Normal_GumbelMixed,Normal,GumbelMixed,360,40000,1.0,6.143750400391219,log_price_density,,Gumbel,Normal_Gumbel,Gumbel,40000,1.0,6.0268300588254275,log_price_density,,0.11692034156579112
test_2025,Normal_GumbelMixed,Normal,GumbelMixed,1440,40000,1.0,6.027340461735654,log_price_density,,Gumbel,Normal_Gumbel,Gumbel,40000,1.0,6.0273336282432055,log_price_density,,6.833492448343748e-06
training_2021_2023,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,5,40000,1.0,7.562913387038419,log_price_density,,SurvivalGumbel,Normal_SurvivalGumbel,SurvivalGumbel,40000,1.0,7.9732707050374465,log_price_density,,-0.4103573179990274
training_2021_2023,Normal_SurvivalGumbelMixed,Normal,SurvivalGumbelMixed,60,40000,1.0,7.436899837623428,log_price_density,,SurvivalGumbel,Normal_SurvivalGumbel,SurvivalGumbel,40000,1.0,6.282709442846822,log_price_density,,1.154190394776606
