sample,horizon_minutes,n_pairs,empirical_gaussian_rho,fitted_base_rho,fitted_mixed_linear_dependence,reset_weight
baseline,5,524610,0.9912826903232085,0.996917398432963,0.9960328198193847,0.0008873138486384935
baseline,10,524494,0.9886797515971122,0.9938442992983471,0.9920813781573549,0.0017738403714110396
baseline,30,524279,0.9806730799482593,0.981646342592607,0.9764317516539326,0.005312087166649215
baseline,60,524143,0.9715999574635226,0.9636295419254418,0.953418965637967,0.010595956063232381
baseline,120,524017,0.9566437724087297,0.9285818940714368,0.909007724038171,0.021079637841570853
baseline,360,523734,0.9163014099835464,0.8006830484534561,0.7511085758406473,0.06191522689104434
