theta,kappa,sigma
6.000281031412865e-05,2.023149061916861,0.0014114738305257633
6.105238452694895e-05,1.9775409442039693,0.0013487536967414352
9.163535463646616e-05,1.8249467576492582,0.001212371625538342
4.2122977741816636e-05,1.8306920887328766,0.0013630374298261804
9.5612635787894e-05,1.6086535913462647,0.001341401695963127
5.232285135354537e-05,2.06048916520031,0.0012124878915158626
8.627028105780905e-05,1.2993130730361457,0.0012260377454128765
8.514181123701069e-05,1.829999025644614,0.0013479032863853461
7.450194481834435e-05,1.6431497191014957,0.0013044338085773336
6.149554560807477e-05,1.741412573313934,0.0015216255885804725
7.313481388858392e-05,1.6257342967932529,0.001332634072889855
9.726380500907704e-05,1.4665307024315752,0.0012149611049814477
9.169415691481165e-05,1.4531368985147377,0.0012408334023704757
8.690627661063392e-05,1.5860775558303668,0.001380867550023605
5.6109131740367314e-05,1.713814398876546,0.0013429858357898632
8.334574547371558e-05,1.7090163335101283,0.001145667838412198
7.331142623195365e-05,1.8567815857372634,0.0014133683741384066
4.687466779088066e-05,1.848152037519833,0.0014652590083818922
7.581009419314327e-05,1.9277506432954734,0.0014501667723270156
7.588007104658245e-05,1.9239719059143805,0.0013868647271768752
5.044742045335498e-05,1.8720050032013145,0.0014000813546207135
3.825261345541347e-05,1.6021382593032345,0.0013345555811065573
4.634434273975329e-05,1.785269750003606,0.0016160752132499678
4.587770959466822e-05,1.8230477628215418,0.0013072731722110565
7.253116810905717e-05,1.8949160736003015,0.0013228374185286767
5.244613352142335e-05,1.8394347996043277,0.001470810749094552
0.0001130943739111903,1.4371733009393863,0.0012718568054973407
4.233670783594007e-05,2.0529654745171944,0.0014818905083292238
8.921245889547538e-05,1.6623080623826414,0.0013242425199520907
6.202012573937358e-05,1.780859723953765,0.0011896703165741919
5.1745898116746026e-05,1.5389862023515524,0.0013661988781438021
5.595745979165493e-05,1.7623934391940077,0.001305801946354051
4.5217165122988136e-05,1.9480922867230535,0.0014482540870570234
6.615207674833108e-05,1.7872962278047353,0.0012082190135530614
7.874835426153363e-05,1.9193570010325143,0.0014606806019509518
5.167643393787542e-05,1.7248010850150868,0.0012771396705625745
7.964583060051349e-05,1.6711738495735906,0.001277454738315363
4.9551279588149115e-05,1.662240236428546,0.0013124396687996661
4.992266207522369e-05,1.522297639706546,0.001465803153613583
6.083105224635367e-05,1.6598612361483889,0.0014840358557445586
7.000776753338137e-05,1.6668081610160432,0.0011131104498192687
5.0388802799495723e-05,1.4309022196823686,0.0011778776268610049
9.280310314790127e-05,1.4617750025259613,0.0013357683860950838
7.262166717642968e-05,1.5059186485370846,0.0013366339101890839
4.9266472253145036e-05,1.7990259103904296,0.0012945621308125094
8.20997776221431e-05,1.498680485137671,0.0014379692541494182
0.00010816179503727177,1.0755545192039409,0.0012575306999884116
6.2621077929313e-05,2.076214443568368,0.0013573227219643323
2.0415608976009133e-05,2.247903432049151,0.0017626754534496704
6.418198435656222e-05,1.6323360603695865,0.001608976842936388
7.639616333928495e-05,1.7007139122438106,0.0014743882122967597
7.631290143093895e-05,1.3640100407303373,0.0012862496951817654
5.441307107561181e-05,1.6288961648131621,0.0012859150613642027
7.291336726709098e-05,1.3661242986582989,0.0014041790373389182
9.022177368270139e-05,1.5460385728706136,0.001344484380733091
