year,observations,theoretical_bars,coverage_pct
2017,43706,79859,54.728959791632754
2018,53635,105120,51.022640791476405
2019,72055,105120,68.54547184170472
2020,102947,105408,97.66526259866424
2021,104822,105120,99.71651445966515
2022,104910,105120,99.80022831050228
2023,105027,105120,99.91152968036529
2024,105153,105408,99.75808287795992
2025,104923,105120,99.81259512937595
