period,model,horizon_minutes,threshold,bin,mean_predicted_probability,observed_frequency,nobs
test_2025,NestedOU_proxy,360,0.001,5,0.009558978424535134,0.0009505703422053232,10520
test_2025,NestedOU_proxy,360,0.001,6,0.013309313802340673,0.0007662101331290107,10441
test_2025,NestedOU_proxy,360,0.001,7,0.02097113048347387,0.006388862401067989,10487
test_2025,NestedOU_proxy,360,0.001,8,0.03921313084986423,0.019101555000959877,10418
test_2025,NestedOU_proxy,360,0.001,9,0.19897602453988938,0.31643390089917733,10454
test_2025,NestedOU_proxy,360,0.0025,0,1.0121491566500327e-12,0.00013356739429094794,52408
test_2025,NestedOU_proxy,360,0.0025,1,3.253489648072875e-12,0.0002886002886002886,10395
test_2025,NestedOU_proxy,360,0.0025,2,1.9179108066365134e-11,9.519276534983341e-05,10505
test_2025,NestedOU_proxy,360,0.0025,3,6.674626619575583e-11,0.0,10499
test_2025,NestedOU_proxy,360,0.0025,4,4.817863121204147e-10,0.0,10431
test_2025,NestedOU_proxy,360,0.0025,5,0.0006120271253559473,0.0,10424
test_2025,NestedOU_proxy,360,0.005,0,1.3268315837236489e-06,2.86636983814565e-05,104662
test_2025,OUF,360,0.001,0,0.0024165061807186437,0.000285932138772398,10492
test_2025,OUF,360,0.001,1,0.0032710318576953655,0.0011401425178147269,10525
test_2025,OUF,360,0.001,2,0.004343142454050007,0.0019133263178035013,10453
test_2025,OUF,360,0.001,3,0.005916502729663801,0.000764306869207987,10467
test_2025,OUF,360,0.001,4,0.008973585394546858,0.00123774159763877,10503
test_2025,OUF,360,0.001,5,0.011462805394593009,0.00038084356850423686,10503
test_2025,OUF,360,0.001,6,0.015194954138329273,0.000484402247626429,10322
test_2025,OUF,360,0.001,7,0.023777765949075384,0.001623531658867348,10471
test_2025,OUF,360,0.001,8,0.04569028398993902,0.008668317774814251,10498
test_2025,OUF,360,0.001,9,0.2491553551803774,0.3324702723436901,10428
test_2025,OUF,360,0.0025,0,1.12313372824843e-12,7.165719199350308e-05,41866
test_2025,OUF,360,0.0025,1,4.547773817000046e-12,0.0004763719512195122,10496
test_2025,OUF,360,0.0025,2,1.7254650853010133e-11,0.00019098548510313216,10472
test_2025,OUF,360,0.0025,3,1.0461581037080564e-10,9.565716472163765e-05,10454
test_2025,OUF,360,0.0025,4,3.4869159559195514e-10,0.0,10464
test_2025,OUF,360,0.0025,5,2.7366188010760594e-09,0.0,10445
test_2025,OUF,360,0.0025,6,0.0009622139283445948,0.0,10465
test_2025,OUF,360,0.005,0,6.931325827750471e-06,2.86636983814565e-05,104662
test_2025,MOUF,360,0.001,0,0.018704584168061804,0.00028555111364934324,10506
test_2025,MOUF,360,0.001,1,0.024701380735175922,0.0038310506656450533,10441
test_2025,MOUF,360,0.001,2,0.027725164265751223,0.0016198189614101952,10495
test_2025,MOUF,360,0.001,3,0.0341416889057652,0.0006626277925028399,10564
test_2025,MOUF,360,0.001,4,0.03898958078524617,0.0,10528
test_2025,MOUF,360,0.001,5,0.04133214028738236,0.0005817335660267597,10314
test_2025,MOUF,360,0.001,6,0.046211452866535795,0.0014268049082088842,10513
test_2025,MOUF,360,0.001,7,0.05200017544300677,0.0010575906162868954,10401
test_2025,MOUF,360,0.001,8,0.06100728215842489,0.009755164498852333,10456
test_2025,MOUF,360,0.001,9,0.17820848569201567,0.32927996936039833,10444
test_2025,MOUF,360,0.0025,0,6.605644622065269e-08,0.0,10484
test_2025,MOUF,360,0.0025,1,4.84297832714554e-07,0.0010112152969295827,10878
test_2025,MOUF,360,0.0025,2,5.408482301850311e-07,0.0,10042
test_2025,MOUF,360,0.0025,3,6.31417857322905e-07,0.0,10508
test_2025,MOUF,360,0.0025,4,1.9821820178822544e-06,0.0,10461
test_2025,MOUF,360,0.0025,5,4.546184594946137e-06,0.0,10433
test_2025,MOUF,360,0.0025,6,6.40048705390751e-06,0.0,10524
test_2025,MOUF,360,0.0025,7,8.226481249353658e-06,0.0,10466
test_2025,MOUF,360,0.0025,8,1.894491023930314e-05,0.0,10424
test_2025,MOUF,360,0.0025,9,0.0005786601329251745,0.0,10442
test_2025,MOUF,360,0.005,0,3.985672291440636e-06,2.86636983814565e-05,104662
test_2025,RandomWalk,1440,0.001,0,0.18138617030900708,9.539254030334828e-05,10483
test_2025,RandomWalk,1440,0.001,1,0.18697426024447697,0.0014400921658986176,10416
test_2025,RandomWalk,1440,0.001,2,0.19502578905802997,0.0021655211373693625,10621
test_2025,RandomWalk,1440,0.001,3,0.20599228024781965,0.0011477761836441894,10455
test_2025,RandomWalk,1440,0.001,4,0.21702487295151263,0.004248334459785653,10357
test_2025,RandomWalk,1440,0.001,5,0.2362814879512287,0.0017356089094590686,10371
test_2025,RandomWalk,1440,0.001,6,0.2576110191461485,0.007461258848287737,10454
test_2025,RandomWalk,1440,0.001,7,0.2705975736314768,0.021305182341650672,10420
test_2025,RandomWalk,1440,0.001,8,0.30733007194566625,0.03208249785161845,10473
test_2025,RandomWalk,1440,0.001,9,0.47946030278247426,0.2570025989026855,10389
test_2025,RandomWalk,1440,0.0025,0,0.0008323940724421515,0.0,10480
test_2025,RandomWalk,1440,0.0025,1,0.0009684124023152659,0.0,10500
test_2025,RandomWalk,1440,0.0025,2,0.0011723047978198892,0.0,10366
test_2025,RandomWalk,1440,0.0025,3,0.0015047709068187502,0.0002868891651525294,10457
test_2025,RandomWalk,1440,0.0025,4,0.00185079076898725,9.540164090822362e-05,10482
test_2025,RandomWalk,1440,0.0025,5,0.00251080891923299,0.0006705623143979308,10439
test_2025,RandomWalk,1440,0.0025,6,0.004002212265986844,0.0,10417
test_2025,RandomWalk,1440,0.0025,7,0.005021002579813427,0.0,10412
test_2025,RandomWalk,1440,0.0025,8,0.007218731855428968,0.0,10470
test_2025,RandomWalk,1440,0.0025,9,0.04181126945388683,0.0,10416
test_2025,RandomWalk,1440,0.005,0,2.2688902467439807e-11,0.0,10490
test_2025,RandomWalk,1440,0.005,1,4.008511057392721e-11,0.0,10469
test_2025,RandomWalk,1440,0.005,2,7.257367526831094e-11,0.0,10513
test_2025,RandomWalk,1440,0.005,3,1.4910889704626064e-10,9.566631589017506e-05,10453
test_2025,RandomWalk,1440,0.005,4,2.7682116480151667e-10,0.0,10352
test_2025,RandomWalk,1440,0.005,5,5.059718738421971e-10,0.00019241870309794111,10394
test_2025,RandomWalk,1440,0.005,6,1.6543635174621435e-09,0.0,10439
test_2025,RandomWalk,1440,0.005,7,1.242913524527521e-08,0.0,10558
test_2025,RandomWalk,1440,0.005,8,2.988770602781354e-08,0.0,10332
test_2025,RandomWalk,1440,0.005,9,0.0002799684608383272,0.0,10439
test_2025,RandomWalk,1440,0.01,0,4.195767830425491e-11,0.0,104439
test_2025,NestedOU_proxy,1440,0.001,0,0.020685105803672874,0.06974966558379514,10466
test_2025,NestedOU_proxy,1440,0.001,1,0.027637774927239383,0.05381380233225005,10462
test_2025,NestedOU_proxy,1440,0.001,2,0.031711600340043715,0.019615311369263,10502
test_2025,NestedOU_proxy,1440,0.001,3,0.034784142222659006,0.017036753445635527,10448
test_2025,NestedOU_proxy,1440,0.001,4,0.04053396189810641,0.0024686669198632737,10532
test_2025,NestedOU_proxy,1440,0.001,5,0.04729902573743255,0.005527004751284786,10313
test_2025,NestedOU_proxy,1440,0.001,6,0.05251875884123113,0.017702484058246884,10507
test_2025,NestedOU_proxy,1440,0.001,7,0.05819062697050185,0.00710309080437704,10418
test_2025,NestedOU_proxy,1440,0.001,8,0.07388786264376324,0.03923454178286374,10399
test_2025,NestedOU_proxy,1440,0.001,9,0.11589005739386785,0.0953618167821401,10392
test_2025,NestedOU_proxy,1440,0.0025,0,5.79194182898355e-09,0.0,10500
test_2025,NestedOU_proxy,1440,0.0025,1,2.099513114043974e-08,0.0,10455
test_2025,NestedOU_proxy,1440,0.0025,2,3.6590985511904095e-08,0.0010571840461316676,10405
test_2025,NestedOU_proxy,1440,0.0025,3,6.679502490253889e-08,0.0,10508
test_2025,NestedOU_proxy,1440,0.0025,4,9.549438145565439e-08,0.0,10446
test_2025,NestedOU_proxy,1440,0.0025,5,1.58808135349231e-07,0.0,10354
test_2025,NestedOU_proxy,1440,0.0025,6,2.9651365804055184e-07,0.0,10473
test_2025,NestedOU_proxy,1440,0.0025,7,8.693568455574841e-07,0.0,10524
test_2025,NestedOU_proxy,1440,0.0025,8,2.0380593283091474e-06,0.0,10331
test_2025,NestedOU_proxy,1440,0.0025,9,2.075241605652335e-05,0.0,10443
test_2025,OUF,1440,0.001,0,0.03319114667223599,0.0,10501
test_2025,OUF,1440,0.001,1,0.039230232199683815,0.005914901736309865,10482
test_2025,OUF,1440,0.001,2,0.04225588741518329,0.008581621830103173,10371
test_2025,OUF,1440,0.001,3,0.04680317467714138,0.01320700545506747,10449
test_2025,OUF,1440,0.001,4,0.050241043022613244,0.009870918754745633,10536
test_2025,OUF,1440,0.001,5,0.05215721483783121,0.003484320557491289,10332
test_2025,OUF,1440,0.001,6,0.05941482345751052,0.023491522212749836,10557
test_2025,OUF,1440,0.001,7,0.07722499845738397,0.06962877476437776,10398
test_2025,OUF,1440,0.001,8,0.08568726630348635,0.03399460708782743,10384
test_2025,OUF,1440,0.001,9,0.12085546422213446,0.15965097324767474,10429
test_2025,OUF,1440,0.0025,0,9.091889365371441e-08,0.0,10513
test_2025,OUF,1440,0.0025,1,2.39929498065022e-07,0.0,10424
test_2025,OUF,1440,0.0025,2,3.40286036770866e-07,0.0009493070058857034,10534
test_2025,OUF,1440,0.0025,3,5.786760671417869e-07,9.686168151879117e-05,10324
test_2025,OUF,1440,0.0025,4,9.229285354595127e-07,0.0,10488
test_2025,OUF,1440,0.0025,5,1.125917558026115e-06,0.0,10519
test_2025,OUF,1440,0.0025,6,1.9349420620005097e-06,0.0,10318
test_2025,OUF,1440,0.0025,7,7.424540873868104e-06,0.0,10466
test_2025,OUF,1440,0.0025,8,1.595520868493184e-05,0.0,10442
test_2025,OUF,1440,0.0025,9,0.00012625581426139383,0.0,10411
test_2025,OUF,1440,0.005,0,1.0705599787182136e-12,2.8724901617211963e-05,104439
test_2025,MOUF,1440,0.001,0,0.03558687860792974,0.08062059775366458,10506
test_2025,MOUF,1440,0.001,1,0.050119159842247754,0.0045985821038513125,10438
test_2025,MOUF,1440,0.001,2,0.051916779672023884,0.0063443237527636255,10403
test_2025,MOUF,1440,0.001,3,0.053355316576543146,0.003349602832806967,10449
test_2025,MOUF,1440,0.001,4,0.06396270399765785,0.06806930693069307,10504
test_2025,MOUF,1440,0.001,5,0.07591967821877103,9.63855421686747e-05,10375
test_2025,MOUF,1440,0.001,6,0.08194411344569276,0.0,10441
test_2025,MOUF,1440,0.001,7,0.08655592653890806,0.014530159640569735,10461
test_2025,MOUF,1440,0.001,8,0.10061836087696957,0.07772367039052802,10473
test_2025,MOUF,1440,0.001,9,0.10864105000260801,0.07132544036962171,10389
test_2025,MOUF,1440,0.0025,0,1.6639638931007635e-07,0.0,10507
test_2025,MOUF,1440,0.0025,1,1.0508113746791406e-06,0.00028293879090823354,10603
test_2025,MOUF,1440,0.0025,2,1.210795949454892e-06,0.000782472613458529,10224
test_2025,MOUF,1440,0.0025,3,1.396937870610165e-06,0.0,10485
test_2025,MOUF,1440,0.0025,4,4.1338025002920285e-06,0.0,10495
test_2025,MOUF,1440,0.0025,5,9.311991473851654e-06,0.0,10355
test_2025,MOUF,1440,0.0025,6,1.325317678406665e-05,0.0,10509
test_2025,MOUF,1440,0.0025,7,1.783235272434902e-05,0.0,10373
test_2025,MOUF,1440,0.0025,8,4.200585277539741e-05,0.0,10472
test_2025,MOUF,1440,0.0025,9,6.738864007848983e-05,0.0,10416
test_2025,MOUF,1440,0.005,0,1.0076887657474784e-12,2.8724901617211963e-05,104439
