specification,start_utc,end_utc,peak_utc,direction,start_price,peak_price,max_abs_deviation,recovery_minutes,censored,b_out,b_in
25_10bp,2024-03-08 20:30:00+00:00,2024-03-10 23:50:00+00:00,2024-03-08 21:50:00+00:00,premium,1.00271,1.00351,0.003509999999999902,3080.0,False,0.0025,0.001
25_10bp,2024-06-30 08:10:00+00:00,2024-07-01 19:05:00+00:00,2024-06-30 08:40:00+00:00,discount,0.99726,0.99716,0.0028399999999999537,2095.0,False,0.0025,0.001
25_10bp,2024-10-14 14:40:00+00:00,2024-10-14 14:50:00+00:00,2024-10-14 14:40:00+00:00,discount,0.99745,0.99745,0.0025500000000000522,10.0,False,0.0025,0.001
25_10bp,2024-10-25 20:35:00+00:00,2024-10-28 13:50:00+00:00,2024-10-25 20:40:00+00:00,discount,0.99734,0.99725,0.00275000000000003,3915.0,False,0.0025,0.001
25_10bp,2024-11-13 16:00:00+00:00,2024-11-13 19:05:00+00:00,2024-11-13 16:00:00+00:00,premium,1.00251,1.00251,0.0025100000000000122,185.0,False,0.0025,0.001
25_10bp,2024-11-23 16:20:00+00:00,2024-11-23 20:20:00+00:00,2024-11-23 16:20:00+00:00,premium,1.00266,1.00266,0.0026600000000001067,240.0,False,0.0025,0.001
25_10bp,2024-12-04 20:55:00+00:00,2024-12-05 02:40:00+00:00,2024-12-04 20:55:00+00:00,premium,1.00251,1.00251,0.0025100000000000122,345.0,False,0.0025,0.001
25_10bp,2024-12-30 15:05:00+00:00,2024-12-30 18:20:00+00:00,2024-12-30 15:05:00+00:00,discount,0.99736,0.99736,0.0026399999999999757,195.0,False,0.0025,0.001
25_10bp,2025-10-10 22:20:00+00:00,2025-10-11 00:25:00+00:00,2025-10-10 22:35:00+00:00,premium,1.00341,1.00662,0.00662000000000007,125.0,False,0.0025,0.001
100_50bp,2022-05-12 05:40:00+00:00,2022-05-12 15:05:00+00:00,2022-05-12 07:15:00+00:00,discount,0.9897,0.9504,0.04959999999999998,565.0,False,0.01,0.005
100_50bp,2022-11-10 11:55:00+00:00,2022-11-10 13:50:00+00:00,2022-11-10 12:20:00+00:00,discount,0.9882,0.9761,0.023900000000000032,115.0,False,0.01,0.005
100_50bp,2023-03-11 02:10:00+00:00,2023-03-11 03:10:00+00:00,2023-03-11 02:15:00+00:00,premium,1.0102,1.0118,0.011800000000000033,60.0,False,0.01,0.005
100_50bp,2023-03-11 16:00:00+00:00,2023-03-13 03:30:00+00:00,2023-03-12 19:45:00+00:00,premium,1.0104,1.0186,0.01859999999999995,2130.0,False,0.01,0.005
