period,model,marginal,copula,horizon_minutes,n_pairs,finite_score_coverage,mean_log_score,comparison_group,evaluation_error
validation_2024,Normal_FrankMixed,Normal,FrankMixed,1440,40000,1.0,5.866636841391665,log_price_density,
test_2025,Normal_FrankMixed,Normal,FrankMixed,5,40000,1.0,5.892059883377907,log_price_density,
test_2025,Normal_FrankMixed,Normal,FrankMixed,60,40000,1.0,5.914956624780474,log_price_density,
test_2025,Normal_FrankMixed,Normal,FrankMixed,360,40000,1.0,6.158180773127513,log_price_density,
test_2025,Normal_FrankMixed,Normal,FrankMixed,1440,40000,1.0,6.027355760388123,log_price_density,
training_2021_2023,Normal_Clayton,Normal,Clayton,5,40000,1.0,7.750708911087902,log_price_density,
training_2021_2023,Normal_Clayton,Normal,Clayton,60,40000,1.0,6.000862784721232,log_price_density,
training_2021_2023,Normal_Clayton,Normal,Clayton,360,40000,1.0,5.6728368226001145,log_price_density,
training_2021_2023,Normal_Clayton,Normal,Clayton,1440,40000,1.0,5.654660028962081,log_price_density,
validation_2024,Normal_Clayton,Normal,Clayton,5,40000,1.0,8.306746216688463,log_price_density,
validation_2024,Normal_Clayton,Normal,Clayton,60,40000,1.0,6.267137890000359,log_price_density,
validation_2024,Normal_Clayton,Normal,Clayton,360,40000,1.0,5.868828103793206,log_price_density,
validation_2024,Normal_Clayton,Normal,Clayton,1440,40000,1.0,5.866624675743292,log_price_density,
test_2025,Normal_Clayton,Normal,Clayton,5,40000,1.0,8.449977415938363,log_price_density,
test_2025,Normal_Clayton,Normal,Clayton,60,40000,1.0,6.309009301162234,log_price_density,
test_2025,Normal_Clayton,Normal,Clayton,360,40000,1.0,6.021098770693237,log_price_density,
test_2025,Normal_Clayton,Normal,Clayton,1440,40000,1.0,6.027333626315591,log_price_density,
training_2021_2023,Normal_ClaytonMixed,Normal,ClaytonMixed,5,40000,1.0,7.7015668177044585,log_price_density,
training_2021_2023,Normal_ClaytonMixed,Normal,ClaytonMixed,60,40000,1.0,7.541856269173068,log_price_density,
training_2021_2023,Normal_ClaytonMixed,Normal,ClaytonMixed,360,40000,1.0,6.6178611108104874,log_price_density,
training_2021_2023,Normal_ClaytonMixed,Normal,ClaytonMixed,1440,40000,1.0,5.654830585844859,log_price_density,
validation_2024,Normal_ClaytonMixed,Normal,ClaytonMixed,5,40000,1.0,5.440032976221268,log_price_density,
validation_2024,Normal_ClaytonMixed,Normal,ClaytonMixed,60,40000,1.0,5.644714540969087,log_price_density,
validation_2024,Normal_ClaytonMixed,Normal,ClaytonMixed,360,40000,1.0,5.950053328808525,log_price_density,
validation_2024,Normal_ClaytonMixed,Normal,ClaytonMixed,1440,40000,1.0,5.866635775027807,log_price_density,
test_2025,Normal_ClaytonMixed,Normal,ClaytonMixed,5,40000,1.0,5.965802434555204,log_price_density,
test_2025,Normal_ClaytonMixed,Normal,ClaytonMixed,60,40000,1.0,5.960713735271443,log_price_density,
test_2025,Normal_ClaytonMixed,Normal,ClaytonMixed,360,40000,1.0,6.162951352262724,log_price_density,
test_2025,Normal_ClaytonMixed,Normal,ClaytonMixed,1440,40000,1.0,6.027350758522614,log_price_density,
training_2021_2023,Normal_SurvivalClayton,Normal,SurvivalClayton,5,40000,1.0,7.673310035218234,log_price_density,
training_2021_2023,Normal_SurvivalClayton,Normal,SurvivalClayton,60,40000,1.0,6.010453550563933,log_price_density,
training_2021_2023,Normal_SurvivalClayton,Normal,SurvivalClayton,360,40000,1.0,5.674181928115576,log_price_density,
training_2021_2023,Normal_SurvivalClayton,Normal,SurvivalClayton,1440,40000,1.0,5.654660045427781,log_price_density,
validation_2024,Normal_SurvivalClayton,Normal,SurvivalClayton,5,40000,1.0,7.97073285498944,log_price_density,
validation_2024,Normal_SurvivalClayton,Normal,SurvivalClayton,60,40000,1.0,6.167177318346119,log_price_density,
validation_2024,Normal_SurvivalClayton,Normal,SurvivalClayton,360,40000,1.0,5.868333974255284,log_price_density,
validation_2024,Normal_SurvivalClayton,Normal,SurvivalClayton,1440,40000,1.0,5.866624671982572,log_price_density,
test_2025,Normal_SurvivalClayton,Normal,SurvivalClayton,5,40000,1.0,8.137928996955168,log_price_density,
test_2025,Normal_SurvivalClayton,Normal,SurvivalClayton,60,40000,1.0,6.236276262110022,log_price_density,
test_2025,Normal_SurvivalClayton,Normal,SurvivalClayton,360,40000,1.0,6.020891067223236,log_price_density,
test_2025,Normal_SurvivalClayton,Normal,SurvivalClayton,1440,40000,1.0,6.027333624370951,log_price_density,
training_2021_2023,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,5,40000,1.0,7.677936581450997,log_price_density,
training_2021_2023,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,60,40000,1.0,7.504980871792932,log_price_density,
training_2021_2023,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,360,40000,1.0,6.61857702466983,log_price_density,
training_2021_2023,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,1440,40000,1.0,5.66759920767411,log_price_density,
validation_2024,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,5,40000,1.0,5.462453841660623,log_price_density,
validation_2024,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,60,40000,1.0,5.630323830027476,log_price_density,
validation_2024,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,360,40000,1.0,5.9426504566861915,log_price_density,
validation_2024,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,1440,40000,1.0,5.866635229510186,log_price_density,
test_2025,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,5,40000,1.0,5.932865030939854,log_price_density,
test_2025,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,60,40000,1.0,5.938373741017889,log_price_density,
test_2025,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,360,40000,1.0,6.1542244817634915,log_price_density,
test_2025,Normal_SurvivalClaytonMixed,Normal,SurvivalClaytonMixed,1440,40000,1.0,6.0273514725998405,log_price_density,
training_2021_2023,Normal_Gumbel,Normal,Gumbel,5,40000,1.0,7.904768398061181,log_price_density,
training_2021_2023,Normal_Gumbel,Normal,Gumbel,60,40000,1.0,6.271719879047792,log_price_density,
training_2021_2023,Normal_Gumbel,Normal,Gumbel,360,40000,1.0,5.7326867712850715,log_price_density,
training_2021_2023,Normal_Gumbel,Normal,Gumbel,1440,40000,1.0,5.658559469556046,log_price_density,
validation_2024,Normal_Gumbel,Normal,Gumbel,5,40000,1.0,8.315217245823456,log_price_density,
validation_2024,Normal_Gumbel,Normal,Gumbel,60,40000,1.0,6.427193668086731,log_price_density,
validation_2024,Normal_Gumbel,Normal,Gumbel,360,40000,1.0,5.879518169874872,log_price_density,
validation_2024,Normal_Gumbel,Normal,Gumbel,1440,40000,1.0,5.866624678042892,log_price_density,
test_2025,Normal_Gumbel,Normal,Gumbel,5,40000,1.0,8.429954334256518,log_price_density,
test_2025,Normal_Gumbel,Normal,Gumbel,60,40000,1.0,6.46901949640931,log_price_density,
test_2025,Normal_Gumbel,Normal,Gumbel,360,40000,1.0,6.0268300588254275,log_price_density,
test_2025,Normal_Gumbel,Normal,Gumbel,1440,40000,1.0,6.0273336282432055,log_price_density,
training_2021_2023,Normal_GumbelMixed,Normal,GumbelMixed,5,40000,1.0,7.5514236737577205,log_price_density,
training_2021_2023,Normal_GumbelMixed,Normal,GumbelMixed,60,40000,1.0,7.425885367100378,log_price_density,
training_2021_2023,Normal_GumbelMixed,Normal,GumbelMixed,360,40000,1.0,6.560559153215574,log_price_density,
training_2021_2023,Normal_GumbelMixed,Normal,GumbelMixed,1440,40000,1.0,5.666334255234417,log_price_density,
