period,model,marginal,copula,horizon_minutes,n_pairs,finite_score_coverage,mean_log_score,comparison_group,evaluation_error
validation_2024,StudentT_Clayton,StudentT,Clayton,1440,40000,1.0,5.89075153815365,log_price_density,
test_2025,StudentT_Clayton,StudentT,Clayton,5,40000,1.0,8.822572626451135,log_price_density,
test_2025,StudentT_Clayton,StudentT,Clayton,60,40000,1.0,6.835406959196046,log_price_density,
test_2025,StudentT_Clayton,StudentT,Clayton,360,40000,1.0,6.3376149711100025,log_price_density,
test_2025,StudentT_Clayton,StudentT,Clayton,1440,40000,1.0,6.344498261864901,log_price_density,
training_2021_2023,StudentT_ClaytonMixed,StudentT,ClaytonMixed,5,40000,1.0,8.173739592466967,log_price_density,
training_2021_2023,StudentT_ClaytonMixed,StudentT,ClaytonMixed,60,40000,1.0,7.999750128570308,log_price_density,
training_2021_2023,StudentT_ClaytonMixed,StudentT,ClaytonMixed,360,40000,1.0,7.046258734298205,log_price_density,
training_2021_2023,StudentT_ClaytonMixed,StudentT,ClaytonMixed,1440,40000,1.0,6.083643127752045,log_price_density,
validation_2024,StudentT_ClaytonMixed,StudentT,ClaytonMixed,5,40000,1.0,5.661988748105671,log_price_density,
validation_2024,StudentT_ClaytonMixed,StudentT,ClaytonMixed,60,40000,1.0,5.714396695848113,log_price_density,
validation_2024,StudentT_ClaytonMixed,StudentT,ClaytonMixed,360,40000,1.0,5.98659382249484,log_price_density,
validation_2024,StudentT_ClaytonMixed,StudentT,ClaytonMixed,1440,40000,1.0,5.89077045163591,log_price_density,
test_2025,StudentT_ClaytonMixed,StudentT,ClaytonMixed,5,40000,1.0,6.371347215595234,log_price_density,
test_2025,StudentT_ClaytonMixed,StudentT,ClaytonMixed,60,40000,1.0,6.302527181066075,log_price_density,
test_2025,StudentT_ClaytonMixed,StudentT,ClaytonMixed,360,40000,1.0,6.4884281053478,log_price_density,
test_2025,StudentT_ClaytonMixed,StudentT,ClaytonMixed,1440,40000,1.0,6.344525832998228,log_price_density,
training_2021_2023,StudentT_SurvivalClayton,StudentT,SurvivalClayton,5,40000,1.0,7.7509652377650475,log_price_density,
training_2021_2023,StudentT_SurvivalClayton,StudentT,SurvivalClayton,60,40000,1.0,6.5482045939135345,log_price_density,
training_2021_2023,StudentT_SurvivalClayton,StudentT,SurvivalClayton,360,40000,1.0,6.084103280740297,log_price_density,
training_2021_2023,StudentT_SurvivalClayton,StudentT,SurvivalClayton,1440,40000,1.0,6.083409759963951,log_price_density,
validation_2024,StudentT_SurvivalClayton,StudentT,SurvivalClayton,5,40000,1.0,7.970012976273148,log_price_density,
validation_2024,StudentT_SurvivalClayton,StudentT,SurvivalClayton,60,40000,1.0,6.344874095621091,log_price_density,
validation_2024,StudentT_SurvivalClayton,StudentT,SurvivalClayton,360,40000,1.0,5.894145299538177,log_price_density,
validation_2024,StudentT_SurvivalClayton,StudentT,SurvivalClayton,1440,40000,1.0,5.890751526723945,log_price_density,
test_2025,StudentT_SurvivalClayton,StudentT,SurvivalClayton,5,40000,1.0,8.312747898370167,log_price_density,
test_2025,StudentT_SurvivalClayton,StudentT,SurvivalClayton,60,40000,1.0,6.6476091016898415,log_price_density,
test_2025,StudentT_SurvivalClayton,StudentT,SurvivalClayton,360,40000,1.0,6.336668214410896,log_price_density,
test_2025,StudentT_SurvivalClayton,StudentT,SurvivalClayton,1440,40000,1.0,6.344498254831462,log_price_density,
training_2021_2023,StudentT_SurvivalClaytonMixed,StudentT,SurvivalClaytonMixed,5,40000,1.0,8.166561736357584,log_price_density,
training_2021_2023,StudentT_SurvivalClaytonMixed,StudentT,SurvivalClaytonMixed,60,40000,1.0,7.9559046576694,log_price_density,
training_2021_2023,StudentT_SurvivalClaytonMixed,StudentT,SurvivalClaytonMixed,360,40000,1.0,7.020461553458474,log_price_density,
training_2021_2023,StudentT_SurvivalClaytonMixed,StudentT,SurvivalClaytonMixed,1440,40000,1.0,6.0836279592133815,log_price_density,
validation_2024,StudentT_SurvivalClaytonMixed,StudentT,SurvivalClaytonMixed,5,40000,1.0,5.9855152142904355,log_price_density,
validation_2024,StudentT_SurvivalClaytonMixed,StudentT,SurvivalClaytonMixed,60,40000,1.0,5.811705615295179,log_price_density,
validation_2024,StudentT_SurvivalClaytonMixed,StudentT,SurvivalClaytonMixed,360,40000,1.0,5.9893095781103,log_price_density,
validation_2024,StudentT_SurvivalClaytonMixed,StudentT,SurvivalClaytonMixed,1440,40000,1.0,5.890766015239456,log_price_density,
test_2025,StudentT_SurvivalClaytonMixed,StudentT,SurvivalClaytonMixed,5,40000,1.0,6.545087162100361,log_price_density,
test_2025,StudentT_SurvivalClaytonMixed,StudentT,SurvivalClaytonMixed,60,40000,1.0,6.347285658071716,log_price_density,
test_2025,StudentT_SurvivalClaytonMixed,StudentT,SurvivalClaytonMixed,360,40000,1.0,6.479444316779829,log_price_density,
test_2025,StudentT_SurvivalClaytonMixed,StudentT,SurvivalClaytonMixed,1440,40000,1.0,6.344518192935987,log_price_density,
training_2021_2023,StudentT_Gumbel,StudentT,Gumbel,5,40000,1.0,7.948222466884784,log_price_density,
training_2021_2023,StudentT_Gumbel,StudentT,Gumbel,60,40000,1.0,6.838974552602956,log_price_density,
training_2021_2023,StudentT_Gumbel,StudentT,Gumbel,360,40000,1.0,6.109851851089603,log_price_density,
training_2021_2023,StudentT_Gumbel,StudentT,Gumbel,1440,40000,1.0,6.083409785024951,log_price_density,
validation_2024,StudentT_Gumbel,StudentT,Gumbel,5,40000,1.0,8.44408732767645,log_price_density,
validation_2024,StudentT_Gumbel,StudentT,Gumbel,60,40000,1.0,6.678546535425078,log_price_density,
validation_2024,StudentT_Gumbel,StudentT,Gumbel,360,40000,1.0,5.912640288956292,log_price_density,
validation_2024,StudentT_Gumbel,StudentT,Gumbel,1440,40000,1.0,5.8907515352362285,log_price_density,
test_2025,StudentT_Gumbel,StudentT,Gumbel,5,40000,1.0,8.70832412946569,log_price_density,
test_2025,StudentT_Gumbel,StudentT,Gumbel,60,40000,1.0,6.931766409823059,log_price_density,
test_2025,StudentT_Gumbel,StudentT,Gumbel,360,40000,1.0,6.347084985316081,log_price_density,
test_2025,StudentT_Gumbel,StudentT,Gumbel,1440,40000,1.0,6.344498259607232,log_price_density,
training_2021_2023,StudentT_GumbelMixed,StudentT,GumbelMixed,5,40000,1.0,8.010474355110095,log_price_density,
training_2021_2023,StudentT_GumbelMixed,StudentT,GumbelMixed,60,40000,1.0,7.876715111136698,log_price_density,
training_2021_2023,StudentT_GumbelMixed,StudentT,GumbelMixed,360,40000,1.0,6.9828850662025825,log_price_density,
training_2021_2023,StudentT_GumbelMixed,StudentT,GumbelMixed,1440,40000,1.0,6.083492638117562,log_price_density,
validation_2024,StudentT_GumbelMixed,StudentT,GumbelMixed,5,40000,1.0,5.493354144290695,log_price_density,
validation_2024,StudentT_GumbelMixed,StudentT,GumbelMixed,60,40000,1.0,5.653182398793002,log_price_density,
validation_2024,StudentT_GumbelMixed,StudentT,GumbelMixed,360,40000,1.0,5.967854269350939,log_price_density,
validation_2024,StudentT_GumbelMixed,StudentT,GumbelMixed,1440,40000,1.0,5.8907572997121775,log_price_density,
test_2025,StudentT_GumbelMixed,StudentT,GumbelMixed,5,40000,1.0,6.240350883762052,log_price_density,
test_2025,StudentT_GumbelMixed,StudentT,GumbelMixed,60,40000,1.0,6.2472677056861805,log_price_density,
test_2025,StudentT_GumbelMixed,StudentT,GumbelMixed,360,40000,1.0,6.464974908997826,log_price_density,
test_2025,StudentT_GumbelMixed,StudentT,GumbelMixed,1440,40000,1.0,6.3445066870209255,log_price_density,
training_2021_2023,StudentT_SurvivalGumbel,StudentT,SurvivalGumbel,5,40000,1.0,7.995766699330874,log_price_density,
training_2021_2023,StudentT_SurvivalGumbel,StudentT,SurvivalGumbel,60,40000,1.0,6.86327110352142,log_price_density,
training_2021_2023,StudentT_SurvivalGumbel,StudentT,SurvivalGumbel,360,40000,1.0,6.110377926183683,log_price_density,
training_2021_2023,StudentT_SurvivalGumbel,StudentT,SurvivalGumbel,1440,40000,1.0,6.08340977993665,log_price_density,
validation_2024,StudentT_SurvivalGumbel,StudentT,SurvivalGumbel,5,40000,1.0,8.659575236690483,log_price_density,
validation_2024,StudentT_SurvivalGumbel,StudentT,SurvivalGumbel,60,40000,1.0,6.836636680466193,log_price_density,
validation_2024,StudentT_SurvivalGumbel,StudentT,SurvivalGumbel,360,40000,1.0,5.927630934773151,log_price_density,
validation_2024,StudentT_SurvivalGumbel,StudentT,SurvivalGumbel,1440,40000,1.0,5.89075155696306,log_price_density,
test_2025,StudentT_SurvivalGumbel,StudentT,SurvivalGumbel,5,40000,1.0,8.898578295320316,log_price_density,
test_2025,StudentT_SurvivalGumbel,StudentT,SurvivalGumbel,60,40000,1.0,7.081934494268478,log_price_density,
test_2025,StudentT_SurvivalGumbel,StudentT,SurvivalGumbel,360,40000,1.0,6.357219889793592,log_price_density,
test_2025,StudentT_SurvivalGumbel,StudentT,SurvivalGumbel,1440,40000,1.0,6.344498272718005,log_price_density,
training_2021_2023,StudentT_SurvivalGumbelMixed,StudentT,SurvivalGumbelMixed,5,40000,1.0,8.022524634034083,log_price_density,
training_2021_2023,StudentT_SurvivalGumbelMixed,StudentT,SurvivalGumbelMixed,60,40000,1.0,7.890853728219782,log_price_density,
training_2021_2023,StudentT_SurvivalGumbelMixed,StudentT,SurvivalGumbelMixed,360,40000,1.0,6.98272738329887,log_price_density,
training_2021_2023,StudentT_SurvivalGumbelMixed,StudentT,SurvivalGumbelMixed,1440,40000,1.0,6.083586607975501,log_price_density,
validation_2024,StudentT_SurvivalGumbelMixed,StudentT,SurvivalGumbelMixed,5,40000,1.0,5.449958574255817,log_price_density,
validation_2024,StudentT_SurvivalGumbelMixed,StudentT,SurvivalGumbelMixed,60,40000,1.0,5.66353630195621,log_price_density,
validation_2024,StudentT_SurvivalGumbelMixed,StudentT,SurvivalGumbelMixed,360,40000,1.0,5.9731202964351064,log_price_density,
validation_2024,StudentT_SurvivalGumbelMixed,StudentT,SurvivalGumbelMixed,1440,40000,1.0,5.890765268499286,log_price_density,
test_2025,StudentT_SurvivalGumbelMixed,StudentT,SurvivalGumbelMixed,5,40000,1.0,6.255528811055036,log_price_density,
test_2025,StudentT_SurvivalGumbelMixed,StudentT,SurvivalGumbelMixed,60,40000,1.0,6.268613427821482,log_price_density,
test_2025,StudentT_SurvivalGumbelMixed,StudentT,SurvivalGumbelMixed,360,40000,1.0,6.472678458652348,log_price_density,
test_2025,StudentT_SurvivalGumbelMixed,StudentT,SurvivalGumbelMixed,1440,40000,1.0,6.344518622257006,log_price_density,
training_2021_2023,SkewStudentT_Gaussian,SkewStudentT,Gaussian,5,40000,1.0,7.852415177856164,log_price_density,
training_2021_2023,SkewStudentT_Gaussian,SkewStudentT,Gaussian,60,40000,1.0,7.399141478910694,log_price_density,
training_2021_2023,SkewStudentT_Gaussian,SkewStudentT,Gaussian,360,40000,1.0,6.706364540320918,log_price_density,
training_2021_2023,SkewStudentT_Gaussian,SkewStudentT,Gaussian,1440,40000,1.0,6.251983307816088,log_price_density,
validation_2024,SkewStudentT_Gaussian,SkewStudentT,Gaussian,5,40000,1.0,8.42876340883262,log_price_density,
validation_2024,SkewStudentT_Gaussian,SkewStudentT,Gaussian,60,40000,1.0,7.343093771238637,log_price_density,
validation_2024,SkewStudentT_Gaussian,SkewStudentT,Gaussian,360,40000,1.0,6.579107351887945,log_price_density,
validation_2024,SkewStudentT_Gaussian,SkewStudentT,Gaussian,1440,40000,1.0,6.086713094433961,log_price_density,
test_2025,SkewStudentT_Gaussian,SkewStudentT,Gaussian,5,40000,1.0,8.698734323911394,log_price_density,
test_2025,SkewStudentT_Gaussian,SkewStudentT,Gaussian,60,40000,1.0,7.6439784068811685,log_price_density,
test_2025,SkewStudentT_Gaussian,SkewStudentT,Gaussian,360,40000,1.0,6.883855556914443,log_price_density,
test_2025,SkewStudentT_Gaussian,SkewStudentT,Gaussian,1440,40000,1.0,6.472340942346434,log_price_density,
training_2021_2023,SkewStudentT_GaussianMixed,SkewStudentT,GaussianMixed,5,40000,1.0,7.8660451201914565,log_price_density,
training_2021_2023,SkewStudentT_GaussianMixed,SkewStudentT,GaussianMixed,60,40000,1.0,7.466887843233792,log_price_density,
training_2021_2023,SkewStudentT_GaussianMixed,SkewStudentT,GaussianMixed,360,40000,1.0,6.767206733791112,log_price_density,
training_2021_2023,SkewStudentT_GaussianMixed,SkewStudentT,GaussianMixed,1440,40000,1.0,6.2931078410209045,log_price_density,
validation_2024,SkewStudentT_GaussianMixed,SkewStudentT,GaussianMixed,5,40000,1.0,8.507422534346864,log_price_density,
validation_2024,SkewStudentT_GaussianMixed,SkewStudentT,GaussianMixed,60,40000,1.0,7.402267933777466,log_price_density,
validation_2024,SkewStudentT_GaussianMixed,SkewStudentT,GaussianMixed,360,40000,1.0,6.635649612454878,log_price_density,
validation_2024,SkewStudentT_GaussianMixed,SkewStudentT,GaussianMixed,1440,40000,1.0,6.130796701031277,log_price_density,
test_2025,SkewStudentT_GaussianMixed,SkewStudentT,GaussianMixed,5,40000,1.0,8.74736280660437,log_price_density,
test_2025,SkewStudentT_GaussianMixed,SkewStudentT,GaussianMixed,60,40000,1.0,7.718219958823172,log_price_density,
test_2025,SkewStudentT_GaussianMixed,SkewStudentT,GaussianMixed,360,40000,1.0,6.946302246671717,log_price_density,
test_2025,SkewStudentT_GaussianMixed,SkewStudentT,GaussianMixed,1440,40000,1.0,6.505346664356427,log_price_density,
training_2021_2023,SkewStudentT_StudentT,SkewStudentT,StudentT,5,40000,1.0,8.02144181753821,log_price_density,
training_2021_2023,SkewStudentT_StudentT,SkewStudentT,StudentT,60,40000,1.0,7.661432402650923,log_price_density,
training_2021_2023,SkewStudentT_StudentT,SkewStudentT,StudentT,360,40000,1.0,7.134677126884411,log_price_density,
training_2021_2023,SkewStudentT_StudentT,SkewStudentT,StudentT,1440,40000,1.0,6.68118574320701,log_price_density,
validation_2024,SkewStudentT_StudentT,SkewStudentT,StudentT,5,40000,1.0,8.778521330319103,log_price_density,
validation_2024,SkewStudentT_StudentT,SkewStudentT,StudentT,60,40000,1.0,7.627226502109492,log_price_density,
validation_2024,SkewStudentT_StudentT,SkewStudentT,StudentT,360,40000,1.0,6.925049515868937,log_price_density,
validation_2024,SkewStudentT_StudentT,SkewStudentT,StudentT,1440,40000,1.0,6.448859901786039,log_price_density,
test_2025,SkewStudentT_StudentT,SkewStudentT,StudentT,5,40000,1.0,9.01815710190658,log_price_density,
test_2025,SkewStudentT_StudentT,SkewStudentT,StudentT,60,40000,1.0,8.05792908947688,log_price_density,
test_2025,SkewStudentT_StudentT,SkewStudentT,StudentT,360,40000,1.0,7.356662432607508,log_price_density,
test_2025,SkewStudentT_StudentT,SkewStudentT,StudentT,1440,40000,1.0,6.854167314571969,log_price_density,
training_2021_2023,SkewStudentT_StudentTMixed,SkewStudentT,StudentTMixed,5,40000,1.0,8.021433100280332,log_price_density,
training_2021_2023,SkewStudentT_StudentTMixed,SkewStudentT,StudentTMixed,60,40000,1.0,7.661430780986371,log_price_density,
training_2021_2023,SkewStudentT_StudentTMixed,SkewStudentT,StudentTMixed,360,40000,1.0,7.134681799653795,log_price_density,
training_2021_2023,SkewStudentT_StudentTMixed,SkewStudentT,StudentTMixed,1440,40000,1.0,6.68119157660477,log_price_density,
validation_2024,SkewStudentT_StudentTMixed,SkewStudentT,StudentTMixed,5,40000,1.0,8.778520730133653,log_price_density,
validation_2024,SkewStudentT_StudentTMixed,SkewStudentT,StudentTMixed,60,40000,1.0,7.62722549626622,log_price_density,
validation_2024,SkewStudentT_StudentTMixed,SkewStudentT,StudentTMixed,360,40000,1.0,6.925051391108847,log_price_density,
validation_2024,SkewStudentT_StudentTMixed,SkewStudentT,StudentTMixed,1440,40000,1.0,6.448863811301625,log_price_density,
test_2025,SkewStudentT_StudentTMixed,SkewStudentT,StudentTMixed,5,40000,1.0,9.018157991192167,log_price_density,
test_2025,SkewStudentT_StudentTMixed,SkewStudentT,StudentTMixed,60,40000,1.0,8.057933304608303,log_price_density,
test_2025,SkewStudentT_StudentTMixed,SkewStudentT,StudentTMixed,360,40000,1.0,7.356669408765591,log_price_density,
test_2025,SkewStudentT_StudentTMixed,SkewStudentT,StudentTMixed,1440,40000,1.0,6.854173399439178,log_price_density,
training_2021_2023,SkewStudentT_Frank,SkewStudentT,Frank,5,40000,1.0,7.745572824955061,log_price_density,
training_2021_2023,SkewStudentT_Frank,SkewStudentT,Frank,60,40000,1.0,6.685609227065352,log_price_density,
training_2021_2023,SkewStudentT_Frank,SkewStudentT,Frank,360,40000,1.0,6.091690470803519,log_price_density,
training_2021_2023,SkewStudentT_Frank,SkewStudentT,Frank,1440,40000,1.0,6.083899257622875,log_price_density,
validation_2024,SkewStudentT_Frank,SkewStudentT,Frank,5,40000,1.0,8.252407702446414,log_price_density,
validation_2024,SkewStudentT_Frank,SkewStudentT,Frank,60,40000,1.0,6.581404549976115,log_price_density,
validation_2024,SkewStudentT_Frank,SkewStudentT,Frank,360,40000,1.0,5.908124049070367,log_price_density,
validation_2024,SkewStudentT_Frank,SkewStudentT,Frank,1440,40000,1.0,5.895107937998894,log_price_density,
test_2025,SkewStudentT_Frank,SkewStudentT,Frank,5,40000,1.0,8.64279512735153,log_price_density,
test_2025,SkewStudentT_Frank,SkewStudentT,Frank,60,40000,1.0,6.898765330854783,log_price_density,
test_2025,SkewStudentT_Frank,SkewStudentT,Frank,360,40000,1.0,6.346750102143431,log_price_density,
test_2025,SkewStudentT_Frank,SkewStudentT,Frank,1440,40000,1.0,6.347589092225424,log_price_density,
training_2021_2023,SkewStudentT_FrankMixed,SkewStudentT,FrankMixed,5,40000,1.0,8.054217909750903,log_price_density,
training_2021_2023,SkewStudentT_FrankMixed,SkewStudentT,FrankMixed,60,40000,1.0,7.890520506744327,log_price_density,
training_2021_2023,SkewStudentT_FrankMixed,SkewStudentT,FrankMixed,360,40000,1.0,7.014305389461067,log_price_density,
training_2021_2023,SkewStudentT_FrankMixed,SkewStudentT,FrankMixed,1440,40000,1.0,6.084058166187332,log_price_density,
validation_2024,SkewStudentT_FrankMixed,SkewStudentT,FrankMixed,5,40000,1.0,5.798803331013248,log_price_density,
validation_2024,SkewStudentT_FrankMixed,SkewStudentT,FrankMixed,60,40000,1.0,5.722531068543873,log_price_density,
validation_2024,SkewStudentT_FrankMixed,SkewStudentT,FrankMixed,360,40000,1.0,5.985412477867288,log_price_density,
validation_2024,SkewStudentT_FrankMixed,SkewStudentT,FrankMixed,1440,40000,1.0,5.895120522783131,log_price_density,
test_2025,SkewStudentT_FrankMixed,SkewStudentT,FrankMixed,5,40000,1.0,6.3815152332839,log_price_density,
test_2025,SkewStudentT_FrankMixed,SkewStudentT,FrankMixed,60,40000,1.0,6.278877803032854,log_price_density,
test_2025,SkewStudentT_FrankMixed,SkewStudentT,FrankMixed,360,40000,1.0,6.481754498379981,log_price_density,
test_2025,SkewStudentT_FrankMixed,SkewStudentT,FrankMixed,1440,40000,1.0,6.347611094965677,log_price_density,
training_2021_2023,SkewStudentT_Clayton,SkewStudentT,Clayton,5,40000,1.0,7.833857189108073,log_price_density,
training_2021_2023,SkewStudentT_Clayton,SkewStudentT,Clayton,60,40000,1.0,6.576700357132207,log_price_density,
training_2021_2023,SkewStudentT_Clayton,SkewStudentT,Clayton,360,40000,1.0,6.084845450735446,log_price_density,
training_2021_2023,SkewStudentT_Clayton,SkewStudentT,Clayton,1440,40000,1.0,6.083898453836766,log_price_density,
validation_2024,SkewStudentT_Clayton,SkewStudentT,Clayton,5,40000,1.0,8.49827067297857,log_price_density,
validation_2024,SkewStudentT_Clayton,SkewStudentT,Clayton,60,40000,1.0,6.552938818001517,log_price_density,
validation_2024,SkewStudentT_Clayton,SkewStudentT,Clayton,360,40000,1.0,5.899778549832142,log_price_density,
validation_2024,SkewStudentT_Clayton,SkewStudentT,Clayton,1440,40000,1.0,5.895106942485161,log_price_density,
test_2025,SkewStudentT_Clayton,SkewStudentT,Clayton,5,40000,1.0,8.819886894000886,log_price_density,
test_2025,SkewStudentT_Clayton,SkewStudentT,Clayton,60,40000,1.0,6.828486317876016,log_price_density,
test_2025,SkewStudentT_Clayton,SkewStudentT,Clayton,360,40000,1.0,6.340757808798438,log_price_density,
test_2025,SkewStudentT_Clayton,SkewStudentT,Clayton,1440,40000,1.0,6.3475884071510835,log_price_density,
training_2021_2023,SkewStudentT_ClaytonMixed,SkewStudentT,ClaytonMixed,5,40000,1.0,8.170897165591638,log_price_density,
training_2021_2023,SkewStudentT_ClaytonMixed,SkewStudentT,ClaytonMixed,60,40000,1.0,7.997650526792557,log_price_density,
training_2021_2023,SkewStudentT_ClaytonMixed,SkewStudentT,ClaytonMixed,360,40000,1.0,7.04414069650694,log_price_density,
training_2021_2023,SkewStudentT_ClaytonMixed,SkewStudentT,ClaytonMixed,1440,40000,1.0,6.084122008034006,log_price_density,
validation_2024,SkewStudentT_ClaytonMixed,SkewStudentT,ClaytonMixed,5,40000,1.0,5.667493148024238,log_price_density,
validation_2024,SkewStudentT_ClaytonMixed,SkewStudentT,ClaytonMixed,60,40000,1.0,5.719011349647191,log_price_density,
validation_2024,SkewStudentT_ClaytonMixed,SkewStudentT,ClaytonMixed,360,40000,1.0,5.990755974677784,log_price_density,
validation_2024,SkewStudentT_ClaytonMixed,SkewStudentT,ClaytonMixed,1440,40000,1.0,5.895125138515497,log_price_density,
test_2025,SkewStudentT_ClaytonMixed,SkewStudentT,ClaytonMixed,5,40000,1.0,6.371159602009026,log_price_density,
test_2025,SkewStudentT_ClaytonMixed,SkewStudentT,ClaytonMixed,60,40000,1.0,6.304606621421114,log_price_density,
test_2025,SkewStudentT_ClaytonMixed,SkewStudentT,ClaytonMixed,360,40000,1.0,6.491125259653645,log_price_density,
test_2025,SkewStudentT_ClaytonMixed,SkewStudentT,ClaytonMixed,1440,40000,1.0,6.347615149404283,log_price_density,
training_2021_2023,SkewStudentT_SurvivalClayton,SkewStudentT,SurvivalClayton,5,40000,1.0,7.744534343006283,log_price_density,
training_2021_2023,SkewStudentT_SurvivalClayton,SkewStudentT,SurvivalClayton,60,40000,1.0,6.553107140168759,log_price_density,
training_2021_2023,SkewStudentT_SurvivalClayton,SkewStudentT,SurvivalClayton,360,40000,1.0,6.084577469981675,log_price_density,
training_2021_2023,SkewStudentT_SurvivalClayton,SkewStudentT,SurvivalClayton,1440,40000,1.0,6.0838984544732755,log_price_density,
validation_2024,SkewStudentT_SurvivalClayton,SkewStudentT,SurvivalClayton,5,40000,1.0,7.970325950281748,log_price_density,
validation_2024,SkewStudentT_SurvivalClayton,SkewStudentT,SurvivalClayton,60,40000,1.0,6.3513620306248555,log_price_density,
validation_2024,SkewStudentT_SurvivalClayton,SkewStudentT,SurvivalClayton,360,40000,1.0,5.898488979648738,log_price_density,
validation_2024,SkewStudentT_SurvivalClayton,SkewStudentT,SurvivalClayton,1440,40000,1.0,5.895106931777336,log_price_density,
test_2025,SkewStudentT_SurvivalClayton,SkewStudentT,SurvivalClayton,5,40000,1.0,8.313183820289899,log_price_density,
test_2025,SkewStudentT_SurvivalClayton,SkewStudentT,SurvivalClayton,60,40000,1.0,6.650447312056286,log_price_density,
test_2025,SkewStudentT_SurvivalClayton,SkewStudentT,SurvivalClayton,360,40000,1.0,6.339885411581048,log_price_density,
test_2025,SkewStudentT_SurvivalClayton,SkewStudentT,SurvivalClayton,1440,40000,1.0,6.347588400074767,log_price_density,
training_2021_2023,SkewStudentT_SurvivalClaytonMixed,SkewStudentT,SurvivalClaytonMixed,5,40000,1.0,8.165813897308087,log_price_density,
training_2021_2023,SkewStudentT_SurvivalClaytonMixed,SkewStudentT,SurvivalClaytonMixed,60,40000,1.0,7.956517696969754,log_price_density,
training_2021_2023,SkewStudentT_SurvivalClaytonMixed,SkewStudentT,SurvivalClaytonMixed,360,40000,1.0,7.02254916611565,log_price_density,
training_2021_2023,SkewStudentT_SurvivalClaytonMixed,SkewStudentT,SurvivalClaytonMixed,1440,40000,1.0,6.084120942389942,log_price_density,
validation_2024,SkewStudentT_SurvivalClaytonMixed,SkewStudentT,SurvivalClaytonMixed,5,40000,1.0,5.972363654436473,log_price_density,
validation_2024,SkewStudentT_SurvivalClaytonMixed,SkewStudentT,SurvivalClaytonMixed,60,40000,1.0,5.806881741023076,log_price_density,
validation_2024,SkewStudentT_SurvivalClaytonMixed,SkewStudentT,SurvivalClaytonMixed,360,40000,1.0,5.992060147488023,log_price_density,
validation_2024,SkewStudentT_SurvivalClaytonMixed,SkewStudentT,SurvivalClaytonMixed,1440,40000,1.0,5.895121561825019,log_price_density,
test_2025,SkewStudentT_SurvivalClaytonMixed,SkewStudentT,SurvivalClaytonMixed,5,40000,1.0,6.538172985202782,log_price_density,
test_2025,SkewStudentT_SurvivalClaytonMixed,SkewStudentT,SurvivalClaytonMixed,60,40000,1.0,6.3454057137883995,log_price_density,
test_2025,SkewStudentT_SurvivalClaytonMixed,SkewStudentT,SurvivalClaytonMixed,360,40000,1.0,6.481971866762241,log_price_density,
test_2025,SkewStudentT_SurvivalClaytonMixed,SkewStudentT,SurvivalClaytonMixed,1440,40000,1.0,6.347608494534073,log_price_density,
training_2021_2023,SkewStudentT_Gumbel,SkewStudentT,Gumbel,5,40000,1.0,7.94281859335694,log_price_density,
training_2021_2023,SkewStudentT_Gumbel,SkewStudentT,Gumbel,60,40000,1.0,6.8403355861361925,log_price_density,
training_2021_2023,SkewStudentT_Gumbel,SkewStudentT,Gumbel,360,40000,1.0,6.110727992684221,log_price_density,
training_2021_2023,SkewStudentT_Gumbel,SkewStudentT,Gumbel,1440,40000,1.0,6.083898480294375,log_price_density,
validation_2024,SkewStudentT_Gumbel,SkewStudentT,Gumbel,5,40000,1.0,8.439524892132539,log_price_density,
validation_2024,SkewStudentT_Gumbel,SkewStudentT,Gumbel,60,40000,1.0,6.6786805465562855,log_price_density,
validation_2024,SkewStudentT_Gumbel,SkewStudentT,Gumbel,360,40000,1.0,5.917054260786755,log_price_density,
validation_2024,SkewStudentT_Gumbel,SkewStudentT,Gumbel,1440,40000,1.0,5.895106940552352,log_price_density,
test_2025,SkewStudentT_Gumbel,SkewStudentT,Gumbel,5,40000,1.0,8.704479977359082,log_price_density,
test_2025,SkewStudentT_Gumbel,SkewStudentT,Gumbel,60,40000,1.0,6.930624437721752,log_price_density,
test_2025,SkewStudentT_Gumbel,SkewStudentT,Gumbel,360,40000,1.0,6.3501816467556385,log_price_density,
test_2025,SkewStudentT_Gumbel,SkewStudentT,Gumbel,1440,40000,1.0,6.347588405106396,log_price_density,
training_2021_2023,SkewStudentT_GumbelMixed,SkewStudentT,GumbelMixed,5,40000,1.0,8.011716495941123,log_price_density,
training_2021_2023,SkewStudentT_GumbelMixed,SkewStudentT,GumbelMixed,60,40000,1.0,7.877585788075699,log_price_density,
training_2021_2023,SkewStudentT_GumbelMixed,SkewStudentT,GumbelMixed,360,40000,1.0,6.983476286946163,log_price_density,
training_2021_2023,SkewStudentT_GumbelMixed,SkewStudentT,GumbelMixed,1440,40000,1.0,6.08398163927341,log_price_density,
validation_2024,SkewStudentT_GumbelMixed,SkewStudentT,GumbelMixed,5,40000,1.0,5.495136282753033,log_price_density,
validation_2024,SkewStudentT_GumbelMixed,SkewStudentT,GumbelMixed,60,40000,1.0,5.656731858151409,log_price_density,
validation_2024,SkewStudentT_GumbelMixed,SkewStudentT,GumbelMixed,360,40000,1.0,5.971995091197177,log_price_density,
validation_2024,SkewStudentT_GumbelMixed,SkewStudentT,GumbelMixed,1440,40000,1.0,5.8951126805074,log_price_density,
