refit_utc,fit_start_utc,fit_end_exclusive_utc,forecast_end_exclusive_utc,model,theta,kappa,sigma,lambda,slow_mean,rw_step_sd,fit_nobs,no_lookahead
2024-05-30 00:00:00+00:00,2023-05-31 00:00:00+00:00,2024-05-30 00:00:00+00:00,2024-06-29 00:00:00+00:00,MOUF,-1.2151147010643665e-05,1.1748895956939711,0.0007876408722205445,2.3867347331357216,,,104861,True
2024-06-29 00:00:00+00:00,2023-06-30 00:00:00+00:00,2024-06-29 00:00:00+00:00,2024-07-29 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,4.622877860314477e-05,104864,True
2024-06-29 00:00:00+00:00,2023-06-30 00:00:00+00:00,2024-06-29 00:00:00+00:00,2024-07-29 00:00:00+00:00,NestedOU_proxy,-1.838074319490078e-05,1.6312295955870215,0.0007855501501055855,0.0,-0.0005245903578014344,,104864,True
2024-06-29 00:00:00+00:00,2023-06-30 00:00:00+00:00,2024-06-29 00:00:00+00:00,2024-07-29 00:00:00+00:00,OUF,-4.67127726456802e-05,1.0942522692319854,0.0007848288334367005,0.0,,,104864,True
2024-06-29 00:00:00+00:00,2023-06-30 00:00:00+00:00,2024-06-29 00:00:00+00:00,2024-07-29 00:00:00+00:00,MOUF,-4.67127726456802e-05,1.0942522692319854,0.0007848288334367005,2.3077837227713456,,,104864,True
2024-07-29 00:00:00+00:00,2023-07-30 00:00:00+00:00,2024-07-29 00:00:00+00:00,2024-08-28 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,4.6788754724028946e-05,104868,True
2024-07-29 00:00:00+00:00,2023-07-30 00:00:00+00:00,2024-07-29 00:00:00+00:00,2024-08-28 00:00:00+00:00,NestedOU_proxy,-2.475240693083891e-06,1.4719711939700713,0.0007949484087852132,0.0,-6.246315013838294e-05,,104868,True
2024-07-29 00:00:00+00:00,2023-07-30 00:00:00+00:00,2024-07-29 00:00:00+00:00,2024-08-28 00:00:00+00:00,OUF,-5.4417549310798444e-05,1.022377318436156,0.0007942783680919492,0.0,,,104868,True
2024-07-29 00:00:00+00:00,2023-07-30 00:00:00+00:00,2024-07-29 00:00:00+00:00,2024-08-28 00:00:00+00:00,MOUF,-5.4417549310798444e-05,1.022377318436156,0.0007942783680919492,2.3203213063133172,,,104868,True
2024-08-28 00:00:00+00:00,2023-08-29 00:00:00+00:00,2024-08-28 00:00:00+00:00,2024-09-27 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,4.7215629752877797e-05,104882,True
2024-08-28 00:00:00+00:00,2023-08-29 00:00:00+00:00,2024-08-28 00:00:00+00:00,2024-09-27 00:00:00+00:00,NestedOU_proxy,3.288493684506135e-05,1.627958256722155,0.0008023099417887334,0.0,0.00016969498976652212,,104882,True
2024-08-28 00:00:00+00:00,2023-08-29 00:00:00+00:00,2024-08-28 00:00:00+00:00,2024-09-27 00:00:00+00:00,OUF,1.5699771596141418e-05,1.2202883128719237,0.0008017744130354846,0.0,,,104882,True
