sample,model,nobs_x,loglik,aic,bic,converged,gradient_norm,hessian_condition,weak_identification,likelihood_type,acceptance_pass,nobs_y,pit_mean,pit_variance,pit_ks_stat,pit_ks_pvalue,ljung_box_z_q20,ljung_box_z_p20,ljung_box_z2_q20,ljung_box_z2_p20,lower_1pct_coverage,upper_99pct_coverage
baseline,CIR_Price,524610,4239568.923161349,-8479131.846322699,-8479098.335091474,True,9.592853246280355e-05,51784368.48230651,True,exact_transition,False,150000,0.4990682105052141,0.05028690935497202,0.20025742790506884,0.0,115.98047469287731,1.5750104169748189e-15,174280.33073614468,0.0,0.010893333333333333,0.01086
baseline,CIR_DepegPressure,524610,4351170.262654961,-8702334.525309922,-8702301.014078697,True,1.2560739745807732e-06,5382.317850266308,False,exact_transition,True,150000,0.5145594367796092,0.047003638709273904,0.20208296302442927,0.0,170.8728736146707,5.863338107525341e-26,233647.6683852715,0.0,0.026793333333333332,0.02756
