period,model,horizon_minutes,nobs,MAE,RMSE,NLS,CRPS,direction_accuracy,threshold,Brier,event_log_score,AUC
test_2025,OUF,5,104900,2.1964881656857217e-05,3.932128414915653e-05,-8.702481772976409,1.9423822685695094e-05,0.3773307912297426,0.0025,2.1012245005146198e-05,0.0005009188543459626,0.9545073189926321
test_2025,OUF,5,104900,2.1964881656857217e-05,3.932128414915653e-05,-8.702481772976409,1.9423822685695094e-05,0.3773307912297426,0.005,1.9065776930371784e-05,0.0005268070968419438,0.8333285667527829
test_2025,OUF,5,104900,2.1964881656857217e-05,3.932128414915653e-05,-8.702481772976409,1.9423822685695094e-05,0.3773307912297426,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
test_2025,MOUF,5,104900,2.251740503155705e-05,3.942622291635476e-05,-8.763179086386076,1.9481589273117205e-05,0.3773307912297426,0.001,0.0023870544718333116,0.008942378652751682,0.9991097723571983
test_2025,MOUF,5,104900,2.251740503155705e-05,3.942622291635476e-05,-8.763179086386076,1.9481589273117205e-05,0.3773307912297426,0.0025,2.0842584627997704e-05,0.00023122585991736943,0.9230615221805908
test_2025,MOUF,5,104900,2.251740503155705e-05,3.942622291635476e-05,-8.763179086386076,1.9481589273117205e-05,0.3773307912297426,0.005,1.8921487619416617e-05,0.00030999686813845776,0.8333269778925995
test_2025,MOUF,5,104900,2.251740503155705e-05,3.942622291635476e-05,-8.763179086386076,1.9481589273117205e-05,0.3773307912297426,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
test_2025,RandomWalk,60,104836,5.760528893209422e-05,9.435363845094989e-05,-7.650482328594078,5.290367278985919e-05,0.08829028196421077,0.001,0.006529101045440049,0.025692047115534942,0.9961933877102066
test_2025,RandomWalk,60,104836,5.760528893209422e-05,9.435363845094989e-05,-7.650482328594078,5.290367278985919e-05,0.08829028196421077,0.0025,0.00022218164538594822,0.004197904816890321,0.7671014461331657
test_2025,RandomWalk,60,104836,5.760528893209422e-05,9.435363845094989e-05,-7.650482328594078,5.290367278985919e-05,0.08829028196421077,0.005,5.710129105594299e-05,0.0013653047448481453,0.4999856915284309
test_2025,RandomWalk,60,104836,5.760528893209422e-05,9.435363845094989e-05,-7.650482328594078,5.290367278985919e-05,0.08829028196421077,0.01,1e-24,1.0000000000005004e-12,
test_2025,NestedOU_proxy,60,104836,6.0479371426344096e-05,9.56992960075026e-05,-7.663453305612869,5.3007378218583117e-05,0.4865599603189744,0.001,0.0069278066702378235,0.0257899651305484,0.996156276857066
test_2025,NestedOU_proxy,60,104836,6.0479371426344096e-05,9.56992960075026e-05,-7.663453305612869,5.3007378218583117e-05,0.4865599603189744,0.0025,0.00020659717768304115,0.003981935763334959,0.6778774147388505
test_2025,NestedOU_proxy,60,104836,6.0479371426344096e-05,9.56992960075026e-05,-7.663453305612869,5.3007378218583117e-05,0.4865599603189744,0.005,5.211378630325661e-05,0.0012113499785863693,0.4999856915284309
test_2025,NestedOU_proxy,60,104836,6.0479371426344096e-05,9.56992960075026e-05,-7.663453305612869,5.3007378218583117e-05,0.4865599603189744,0.01,1e-24,1.0000000000005004e-12,
test_2025,OUF,60,104836,5.850346972841777e-05,9.415626685910549e-05,-7.664401869137908,5.2506133160504245e-05,0.48362203823114197,0.001,0.006601555737829493,0.025171200817248295,0.9961909318252757
