slice,first_parameter,first_value,second_parameter,second_value,mean_loglik,nobs,nuisance_parameters,relative_mean_loglik
kappa_lambda,kappa,0.005795571772335847,lambda,0.4153254399204202,7.554350647591552,40000,held_at_MOU-UQML_estimate,-0.7311262255640978
kappa_lambda,kappa,0.005795571772335847,lambda,0.500978108986087,7.55980557114094,40000,held_at_MOU-UQML_estimate,-0.7256713020147103
kappa_lambda,kappa,0.005795571772335847,lambda,0.604294949356739,7.565322725449469,40000,held_at_MOU-UQML_estimate,-0.7201541477061815
kappa_lambda,kappa,0.005795571772335847,lambda,0.7289188474864182,7.5709062057057945,40000,held_at_MOU-UQML_estimate,-0.7145706674498555
kappa_lambda,kappa,0.005795571772335847,lambda,0.879243963211196,7.5765605292876,40000,held_at_MOU-UQML_estimate,-0.7089163438680499
kappa_lambda,kappa,0.005795571772335847,lambda,1.0605706650461326,7.582290652323119,40000,held_at_MOU-UQML_estimate,-0.7031862208325315
kappa_lambda,kappa,0.005795571772335847,lambda,1.279292417827172,7.588101956053433,40000,held_at_MOU-UQML_estimate,-0.6973749171022172
kappa_lambda,kappa,0.005795571772335847,lambda,1.543121212238039,7.594000184514353,40000,held_at_MOU-UQML_estimate,-0.6914766886412966
kappa_lambda,kappa,0.005795571772335847,lambda,1.861359484724696,7.599991309583517,40000,held_at_MOU-UQML_estimate,-0.6854855635721329
kappa_lambda,kappa,0.005795571772335847,lambda,2.245228115521578,7.606081290921487,40000,held_at_MOU-UQML_estimate,-0.6793955822341626
kappa_lambda,kappa,0.005795571772335847,lambda,2.7082620697925917,7.612275685148596,40000,held_at_MOU-UQML_estimate,-0.6732011880070541
kappa_lambda,kappa,0.005795571772335847,lambda,3.2667876319432994,7.618579039536991,40000,held_at_MOU-UQML_estimate,-0.6668978336186591
kappa_lambda,kappa,0.005795571772335847,lambda,3.940498060084341,7.6249939800653,40000,held_at_MOU-UQML_estimate,-0.6604828930903501
kappa_lambda,kappa,0.005795571772335847,lambda,4.753147957858425,7.631519872170689,40000,held_at_MOU-UQML_estimate,-0.6539570009849607
kappa_lambda,kappa,0.005795571772335847,lambda,5.733390846742393,7.638150895937661,40000,held_at_MOU-UQML_estimate,-0.6473259772179887
kappa_lambda,kappa,0.005795571772335847,lambda,6.915789471094045,7.644873337473719,40000,held_at_MOU-UQML_estimate,-0.6406035356819313
kappa_lambda,kappa,0.005795571772335847,lambda,8.34203445866076,7.651661857476436,40000,held_at_MOU-UQML_estimate,-0.6338150156792137
kappa_lambda,kappa,0.0069907939844818644,lambda,0.4153254399204202,7.758306356533248,40000,held_at_MOU-UQML_estimate,-0.5271705166224017
kappa_lambda,kappa,0.0069907939844818644,lambda,0.500978108986087,7.763069214783737,40000,held_at_MOU-UQML_estimate,-0.5224076583719128
kappa_lambda,kappa,0.0069907939844818644,lambda,0.604294949356739,7.767837520195062,40000,held_at_MOU-UQML_estimate,-0.5176393529605878
