asset,frequency_minutes,price_proxy,period,start_utc,end_utc,observations,theoretical_bars,bar_coverage,exact_pairs,exact_pair_share_of_adjacent,tie_count,tie_rate,min_nonzero_price_change,p01_nonzero_price_change,modal_nonzero_price_change,zero_volume_rate,one_trade_or_less_rate,continuous_segments,median_segment_bars,p90_segment_bars,max_segment_bars
USDT,5,close,2021-2025 asset-specific calendar,2021-01-01 00:00:00+00:00,2025-12-31 23:55:00+00:00,524835,525888,0.9979976725082147,524610,0.9995731983827267,197078,0.37566573263948455,9.999999999843467e-06,9.999999999843467e-06,0.0001,0.0,0.00034105957110329915,225.0,1539.0,5166.5999999999985,21579.0
USDT,5,close,2021-2025 aligned common exact pairs,2021-01-01 00:00:00+00:00,2025-12-31 21:40:00+00:00,264758,525861,0.503475252966088,229484,,103890,0.4527113001342141,9.999999999843467e-06,9.999999999843467e-06,,,,,,,
USDC,5,close,2021-2025 asset-specific calendar,2021-01-01 00:00:00+00:00,2025-12-31 23:55:00+00:00,487069,525888,0.9261839022757697,476848,0.9790173035387256,257997,0.5410466228232057,9.999999999998899e-05,9.999999999998899e-05,0.0001,0.0,0.04264488193664553,10221.0,9.0,96.0,13791.0
USDC,5,close,2021-2025 aligned common exact pairs,2021-01-01 00:00:00+00:00,2025-12-31 21:40:00+00:00,264758,525861,0.503475252966088,229484,,124001,0.5403470394450157,9.999999999998899e-05,9.999999999998899e-05,,,,,,,
DAI,5,close,2021-2025 asset-specific calendar,2021-01-01 00:00:00+00:00,2025-12-31 22:55:00+00:00,311975,525876,0.5932482182111373,241610,0.7744555636046594,41842,0.1731799180497496,9.999999999843467e-06,9.999999999843467e-06,1e-05,0.0,0.15354114913053932,70365.0,2.0,7.0,826.0
DAI,5,close,2021-2025 aligned common exact pairs,2021-01-01 00:00:00+00:00,2025-12-31 21:40:00+00:00,264758,525861,0.503475252966088,229484,,39298,0.17124505412142024,9.999999999843467e-06,9.999999999843467e-06,,,,,,,
