asset,model,sample,common_pairs,common_pair_timestamp_sha256,theta,tau,kappa,lambda,base_half_life_minutes,conditional_mean_half_life_minutes,local_drift_violation,tail_abs_gt_10bp,tail_abs_gt_25bp,tail_abs_gt_50bp,tail_abs_gt_100bp,loglik,converged,observation_model,structural_status
USDT,OU-Interval-IFM,aligned common exact pairs 2021-2025,229484,96a9522e2548289d8b50769a16ce6e949953596534920a158dfedb7cd12850d7,0.00013770361619286348,0.0008742028270649665,2.1421442727907314,0.0,465.94991415119773,465.94991415119773,2.601468623570975e-14,0.12638333874708224,0.00980518058000136,0.002866768898390228,0.0009442585304315639,-510940.55786431197,True,annual-tick conditional interval approximation,provisional pending full grid-filter and synchronous-bootstrap validation
USDT,MOU-Interval-IFM,aligned common exact pairs 2021-2025,229484,96a9522e2548289d8b50769a16ce6e949953596534920a158dfedb7cd12850d7,0.00013770361619286348,0.0008742028270649665,0.8935597371891805,2.458657824339921,1117.028776549498,297.75273283605947,2.601468623570975e-14,0.12638333874708224,0.00980518058000136,0.002866768898390228,0.0009442585304315639,-451127.5830027939,True,annual-tick conditional interval approximation,provisional pending full grid-filter and synchronous-bootstrap validation
USDC,OU-Interval-IFM,aligned common exact pairs 2021-2025,229484,96a9522e2548289d8b50769a16ce6e949953596534920a158dfedb7cd12850d7,-0.0001349801417345034,0.0025209484117890246,1.1008733241905713,0.0,906.6728369862248,906.6728369862248,0.0,0.00520475301973878,0.0028138904206860605,0.00257216023689558,0.001922510367958664,-507150.6323561306,True,annual-tick conditional interval approximation,provisional pending full grid-filter and synchronous-bootstrap validation
USDC,MOU-Interval-IFM,aligned common exact pairs 2021-2025,229484,96a9522e2548289d8b50769a16ce6e949953596534920a158dfedb7cd12850d7,-0.0001349801417345034,0.0025209484117890246,0.12974375348649841,1.2345208945883543,7693.102081482407,731.6263317493491,0.0,0.00520475301973878,0.0028138904206860605,0.00257216023689558,0.001922510367958664,-341645.5795938047,True,annual-tick conditional interval approximation,provisional pending full grid-filter and synchronous-bootstrap validation
DAI,OU-Interval-IFM,aligned common exact pairs 2021-2025,229484,96a9522e2548289d8b50769a16ce6e949953596534920a158dfedb7cd12850d7,-4.175084636505096e-06,0.0023124502723869287,3.9737444401422226,0.0,251.18171413423795,251.18171413423795,7.292382805339055e-13,0.11390024097477697,0.008751388060039734,0.003252026378806306,0.002171794619992597,-1161426.053488926,True,annual-tick conditional interval approximation,provisional pending full grid-filter and synchronous-bootstrap validation
DAI,MOU-Interval-IFM,aligned common exact pairs 2021-2025,229484,96a9522e2548289d8b50769a16ce6e949953596534920a158dfedb7cd12850d7,-4.175084636505096e-06,0.0023124502723869287,0.162501717486428,28.915035128795914,6142.285481319201,34.326564360761374,7.292382805339055e-13,0.11390024097477697,0.008751388060039734,0.003252026378806306,0.002171794619992597,-990292.4295819309,True,annual-tick conditional interval approximation,provisional pending full grid-filter and synchronous-bootstrap validation
