fit_sample,model,theta,kappa,sigma,loglik,nobs,aic,bic,converged,gradient_norm,hessian_condition,repeated_best_solutions,weak_identification,pairs_available,tau,lambda
baseline_full,OUF,0.00012795479207079724,1.3612434705062655,0.0013621382224799714,961632.295765864,120000,-1923258.591531728,-1923229.5057906627,True,8.910160576985187e-06,3008741.542852689,6,False,524610,,
baseline_full,MOU-Peg,0.0,0.8777125126120313,0.000979095373822042,989149.2001047896,120000,-1978294.4002095792,-1978275.0097155357,True,0.0,66.52725525450639,7,False,524610,0.0007389819929071605,2.3141685345820067
baseline_full,MOU-IFM,6.713154816922092e-05,0.8835710362344125,0.0009782957033527076,989145.5122690949,120000,-1978287.0245381899,-1978267.6340441464,True,1.7763568403352462e-07,77.48683265745294,7,False,524610,0.0007359264508641077,2.352885920617737
baseline_full,MOU-UQML,0.0007657495490203584,0.025973950668437377,0.0009665083089188809,995096.9629151857,120000,-1990185.9258303714,-1990147.1448422845,True,2.343175602084415e-06,75123.51994035253,7,False,524610,0.0042405441426762855,1.861359484724696
training_2021_2023,OUF,0.00016314363658204598,2.857284686110123,0.0015650272819100587,945281.5403716562,120000,-1890557.0807433124,-1890527.9950022472,True,3.641542352200565e-05,636980667.4242334,6,False,314590,,
training_2021_2023,MOU-Peg,0.0,0.9352381932181393,0.0011639747187182504,967776.4921639829,120000,-1935548.9843279659,-1935529.5938339224,True,3.5527136806704924e-07,635.9741526535441,7,False,314590,0.0008510742146092798,2.03667442564351
training_2021_2023,MOU-IFM,0.00014360359433683646,0.9613776752039188,0.001163208141982189,967663.3077495536,120000,-1935322.6154991072,-1935303.2250050637,True,0.0,75.58125058264908,7,False,314590,0.0008388714600380346,2.0776063805733975
training_2021_2023,MOU-UQML,0.0008659022032156527,0.02343019470638797,0.0011342488954219556,975427.7594486084,120000,-1950847.5188972168,-1950808.7379091298,True,9.230220898754491e-07,82397.42607466712,7,False,314590,0.005239687890220821,1.979294848835418
