gamma_kappa_minus_d,profile_loglik
-0.001,513423.6709788336
-0.0009750000000000001,521594.4372717033
-0.00095,529156.4426360786
-0.000925,536151.1713524321
-0.0009,542617.1163898751
-0.000875,548590.0023515443
-0.0008500000000000001,554102.9914633986
-0.000825,559186.8739118653
-0.0008,563870.2437361052
-0.000775,568179.6613858381
-0.00075,572139.8039704954
-0.000725,575773.6041444984
-0.0007,579102.37850165
-0.000675,582145.9462828926
-0.00065,584922.7391403092
-0.000625,587449.9026416236
-0.0006000000000000001,589743.3901476036
-0.000575,591818.0496450888
-0.0005499999999999999,593687.7040739291
-0.0005250000000000001,595365.2256438275
-0.0005,596862.6045995423
-0.00047499999999999994,598191.0128569095
-0.00045,599360.8629001467
-0.00042500000000000003,600381.8623001912
-0.00039999999999999996,601263.0641866296
-0.000375,602012.9139800485
-0.00034999999999999994,602639.2926678385
-0.000325,603149.5568850557
-0.00030000000000000003,603550.5760416011
-0.00027499999999999996,603848.766718699
-0.00025,604050.1245403202
-0.00022499999999999994,604160.2537096891
-0.00019999999999999998,604184.3943862761
-0.00017500000000000003,604127.4480654192
-0.00014999999999999996,603994.0011102123
-0.000125,603788.346573963
-9.999999999999994e-05,603514.5044409616
-7.499999999999998e-05,603176.2404035561
-5.000000000000002e-05,602777.0832845824
-2.4999999999999957e-05,602320.3412058862
0.0,601809.1165960894
2.5000000000000066e-05,601246.3201235543
5.000000000000013e-05,600634.6836341786
7.499999999999998e-05,599976.7721675127
0.00010000000000000005,599274.9951190918
0.0001250000000000001,598531.6166119314
0.00014999999999999996,597748.7651352102
0.00017500000000000003,596928.4425039289
0.0002000000000000001,596072.5321891512
0.00022499999999999994,595182.8070649065
0.00025,594260.9366141849
0.00027500000000000007,593308.4936334409
0.00030000000000000014,592326.9604718767
0.000325,591317.7348393635
0.00035000000000000005,590282.13521403
0.0003750000000000001,589221.4058784873
0.00039999999999999996,588136.7216112602
0.00042500000000000003,587029.192058333
0.0004500000000000001,585899.8658075753
0.00047499999999999994,584749.7341873649
0.0005,583579.734808904
0.0005250000000000001,582390.754870613
0.0005500000000000001,581183.6342413762
0.000575,579959.1683381745
0.0006000000000000001,578718.1108127836
0.0006250000000000001,577461.176060783
0.00065,576189.0415654768
0.000675,574902.3500880514
0.0007000000000000001,573601.7117149311
0.0007250000000000002,572287.7057720429
0.00075,570960.8826153692
0.0007750000000000001,569621.7653061154
0.0008000000000000001,568270.851178674
0.000825,566908.6133085461
0.0008500000000000001,565535.5018871961
0.0008750000000000001,564151.9455099924
0.0009,562758.352383363
0.000925,561355.1114564417
0.0009500000000000001,559942.5934824351
0.0009750000000000002,558521.1520142382
0.001,557091.1243389361
